Indicator,ListedCountry,2019-07-11,2020-07-11,2021-07-11,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-11,2022-09-11,2022-10-11,2022-11-11,2022-12-11,2023-01-11,2023-04-11,2023-07-11
UnemploymentRate,US,3.70%,10.20%,5.40%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.50%,3.60%,3.60%,3.60%,3.50%,3.60%,3.60%,3.50%,3.40%,3.40%,3.50%
UnemploymentRate,China,5.30%,5.70%,5.10%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.30%,5.30%,5.30%,5.50%,5.50%,5.70%,5.50%,5.50%,5.40%,5.30%
UnemploymentRate,EU,7.70%,7.70%,7.00%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.10%,6.40%,6.10%,6.00%,6.00%
ConsumerConfidenceIndex,US,101.2,98.65,99.27,96.25,96.25,96.25,96.25,96.25,96.25,96.25,96.51,96.51,96.51,96.73,96.84,96.9,97.12,97.4,97.31,97.93
ConsumerConfidenceIndex,China,124.4,117.2,117.8,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87,87,87,87.2,86.8,85.5,88.3,91.2,87.1,86.4
ConsumerConfidenceIndex,EU,101.09,98.75,101.95,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.49,95.49,95.49,95.34,95.57,96.14,96.73,97.21,98.06,98.53
LongTermInterestRate,US,0.87%,0.62%,1.32%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,3.52%,3.98%,3.89%,3.62%,3.53%,3.46%,3.90%
LongTermInterestRate,China,2.59%,2.97%,2.84%,2.76%,2.76%,2.76%,2.76%,2.76%,2.76%,2.76%,2.62%,2.62%,2.62%,2.76%,2.64%,2.64%,2.84%,2.90%,2.78%,2.66%
LongTermInterestRate,EU,,,,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,1.25%,2%,2%,2.50%,2.50%,3.50%,4.25%
InflationRate,US,1.81221,1.23358,4.69786,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,8.0028,4.11634,4.11634,4.11634
InflationRate,China,2.89923,2.41942,0.98102,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,1.97358,0.23248,0.23248,0.23248
InflationRate,EU,1.44124,0.18694,2.4865,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,8.47118,5.78432,5.78432,5.78432
