StockName,StockSymbol,ListedCountry,2019-07-11,2020-07-11,2021-07-11,2022-07-11,7/11/2022-2,7/11/2022-3,7/11/2022-4,7/11/2022-5,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-11,2022-09-11,2022-10-11,2022-11-11,2022-12-11,2023-01-11,2023-04-11,2023-07-11
Amazon,AMZN,US,101.28,160.75,187.4,114.08,,,,,112.16,107.03,110.24,112.5,115,122.7,134.96,142.05,143.86,133.69,112.71,97.88,90.3,90.93,100.8,127.75
GeneralMotors,GM,US,38.28,24.4,58.92,31.91,,,,,30.92,30.85,31.15,32.25,33.3,34.86,36.06,36.62,38.69,41.54,32.01,41.58,38.56,37.35,35.88,39.57
AT&T,T,US,25.67,22.57,21.56,20.71,,,,,20.63,20.45,20.13,20.54,20.63,18.38,18.85,18.36,18.06,17.07,14.85,18.82,19.35,19.24,19.59,15.29
Alibaba,BABA,China,167.56,261.9,207.27,115.46,,,,,110.86,106.84,107.8,103.49,105.88,100.5,89.19,91.47,94.49,92.9,77.38,72.7,93.75,114.6,102.46,91.02
BYD,1211.HK,China,48,75.8,223.6,316.6,,,,,290.8,274,270,296,298,281.6,288,290.6,284.4,222.4,188.2,193,218.2,208.2,227.8,258.6
ChinaMobile,0941.HK,China,70.35,56.4,47.1,48.9,,,,,49.15,49.75,49.8,49.2,48.95,49.7,49.4,50.6,51.9,51.55,50.4,49.5,51.65,53.45,66,62.5
Deutsche Telekom,DTE.DE,EU,15.41,14.92,18.01,19.21,,,,,19.22,19.29,19.1,18.9,19.1,18.08,18.61,18.9,19,19.61,17.64,19.47,19.33,19.92,22.62,19.41
RioTintoGroup,RIO,EU,60.83,59.05,57.7,57.7,,,,,57.26,57.14,55.07,54.26,57.25,59.65,60.8,61.4,59.96,58.09,56.56,64.44,73.11,76.28,69.07,64.09
S&P500,SPX,US,2999.62,3186.82,4371.6,3880.94,,,,,3851.95,3779.67,3763.99,3818,3883.79,3965.72,4112.38,4155.93,4227.4,4076.81,3595.86,3963.72,3977.02,3932.35,4110.29,4415.55
iSharesChinaLargeCapETF,FXI,China,42.16,45.8,44.25,32.49,,,,,32.05,31.36,31.49,30.96,31.86,31.48,29.95,29.99,29.99,29.52,25.07,25.3,29.48,31.69,29.46,27.18
Mercedes Benz,MBGYY,EU,13.12,10.18,23.97,13.74,,,,,13.19,12.92,12.66,13.07,13.63,14.22,14.71,15.31,15.74,14.18,12.71,16.55,16.95,18.33,18.68,19.77
Infineon,IFNNY,EU,17.99,25.81,39.39,23.19,,,,,22.68,22.3,22.69,23.13,23.87,25.54,27.19,28.32,28.2,25.6,23.05,30.22,33.15,33.62,38.93,40.5
