Stock,PredictedPrice,DateTime,Dataset
AMZN, 142.55, 2022-08-11, 1
AMZN, 136.92, 2022-09-11, 2
AMZN, 119.28, 2022-10-11, 3
AMZN, 100.47, 2022-11-11, 4
AMZN, 94.12, 2022-12-11, 5
GM, 36.85, 2022-08-11, 6
GM, 39.28, 2022-09-11, 7
GM, 34.76, 2022-10-11, 8
GM, 38.22, 2022-11-11, 9
GM, 39.82, 2022-12-11, 10
T, 18.64, 2022-08-11, 11
T, 17.15, 2022-09-11, 12
T, 15.36, 2022-10-11, 13
T, 18.05, 2022-11-11, 14
T, 18.44, 2022-12-11, 15
BABA, 91.27, 2022-08-11, 16
BABA, 90.76, 2022-09-11, 17
BABA, 79.64, 2022-10-11, 18
BABA, 68.82, 2022-11-11, 19
BABA, 76.34, 2022-12-11, 20
1211.HK, 276.28, 2022-08-11, 21
1211.HK, 215.73, 2022-09-11, 22
1211.HK, 182.55, 2022-10-11, 23
1211.HK, 189.45, 2022-11-11, 24
1211.HK, 184.81, 2022-12-11, 25
0941.HK, 52.35, 2022-08-11, 26
0941.HK, 51.18, 2022-09-11, 27
0941.HK, 49.85, 2022-10-11, 28
0941.HK, 48.76, 2022-11-11, 29
0941.HK, 47.82, 2022-12-11, 30
DTE.DE, 18.86, 2022-08-11, 31
DTE.DE, 19.42, 2022-09-11, 32
DTE.DE, 18.21, 2022-10-11, 33
DTE.DE, 19.78, 2022-11-11, 34
DTE.DE, 19.65, 2022-12-11, 35
RIO, 61.25, 2022-08-11, 36
RIO, 58.65, 2022-09-11, 37
RIO, 57.12, 2022-10-11, 38
RIO, 65.92, 2022-11-11, 39
RIO, 66.37, 2022-12-11, 40
MBGYY, 16.12, 2022-08-11, 41
MBGYY, 14.55, 2022-09-11, 42
MBGYY, 13.18, 2022-10-11, 43
MBGYY, 17.23, 2022-11-11, 44
MBGYY, 16.82, 2022-12-11, 45
IFNNY, 29.45, 2022-08-11, 46
IFNNY, 26.32, 2022-09-11, 47
IFNNY, 24.18, 2022-10-11, 48
IFNNY, 31.56, 2022-11-11, 49
IFNNY, 31.98, 2022-12-11, 50
SPX, 4318.58, 2022-08-11, 51
SPX, 4028.34, 2022-09-11, 52
SPX, 3678.43, 2022-10-11, 53
SPX, 3982.46, 2022-11-11, 54
SPX, 3935.18, 2022-12-11, 55
FXI, 29.24, 2022-08-11, 56
FXI, 28.94, 2022-09-11, 57
FXI, 24.63, 2022-10-11, 58
FXI, 24.78, 2022-11-11, 59
FXI, 24.35, 2022-12-11, 60
