Stock,PredictedPrice,DateTime,Dataset
AMZN, 109.52, 2022-10-11, 1
AMZN, 96.85, 2023-01-11, 2
AMZN, 105.25, 2023-04-11, 3
AMZN, 121.46, 2023-07-11, 4
AMZN, 131.58, 2023-10-11, 5
GM, 30.63, 2022-10-11, 6
GM, 35.68, 2023-01-11, 7
GM, 36.26, 2023-04-11, 8
GM, 38.05, 2023-07-11, 9
GM, 41.15, 2023-10-11, 10
T, 16.89, 2022-10-11, 11
T, 18.86, 2023-01-11, 12
T, 19.24, 2023-04-11, 13
T, 16.37, 2023-07-11, 14
T, 15.06, 2023-10-11, 15
BABA, 82.61, 2022-10-11, 16
BABA, 107.72, 2023-01-11, 17
BABA, 95.29, 2023-04-11, 18
BABA, 84.18, 2023-07-11, 19
BABA, 88.29, 2023-10-11, 20
1211.HK, 195.73, 2022-10-11, 21
1211.HK, 216.53, 2023-01-11, 22
1211.HK, 232.36, 2023-04-11, 23
1211.HK, 245.67, 2023-07-11, 24
1211.HK, 252.16, 2023-10-11, 25
0941.HK, 51.35, 2022-10-11, 26
0941.HK, 56.12, 2023-01-11, 27
0941.HK, 63.76, 2023-04-11, 28
0941.HK, 60.62, 2023-07-11, 29
0941.HK, 60.12, 2023-10-11, 30
DTE.DE, 17.89, 2022-10-11, 31
DTE.DE, 20.52, 2023-01-11, 32
DTE.DE, 23.16, 2023-04-11, 33
DTE.DE, 19.99, 2023-07-11, 34
DTE.DE, 19.76, 2023-10-11, 35
RIO, 55.98, 2022-10-11, 36
RIO, 73.23, 2023-01-11, 37
RIO, 67.69, 2023-04-11, 38
RIO, 63.45, 2023-07-11, 39
RIO, 66.01, 2023-10-11, 40
MBGYY, 12.94, 2022-10-11, 41
MBGYY, 17.84, 2023-01-11, 42
MBGYY, 19.33, 2023-04-11, 43
MBGYY, 20.56, 2023-07-11, 44
MBGYY, 20.96, 2023-10-11, 45
IFNNY, 23.74, 2022-10-11, 46
IFNNY, 32.19, 2023-01-11, 47
IFNNY, 39.48, 2023-04-11, 48
IFNNY, 41.71, 2023-07-11, 49
IFNNY, 42.53, 2023-10-11, 50
SPX, 3648.94, 2022-10-11, 51
SPX, 3869.70, 2023-01-11, 52
SPX, 4233.60, 2023-04-11, 53
SPX, 4459.71, 2023-07-11, 54
SPX, 4326.24, 2023-10-11, 55
FXI, 24.95, 2022-10-11, 56
FXI, 31.13, 2023-01-11, 57
FXI, 28.87, 2023-04-11, 58
FXI, 26.36, 2023-07-11, 59
FXI, 27.72, 2023-10-11, 60
