Stock,PredictedPrice,DateTime,Dataset
AMZN, 115.50, 2022-07-18, 1
AMZN, 122.30, 2022-07-25, 1
AMZN, 134.40, 2022-08-01, 1
AMZN, 142.35, 2022-08-08, 1
AMZN, 144.89, 2022-08-15, 1
GM, 33.20, 2022-07-18, 1
GM, 34.70, 2022-07-25, 1
GM, 36.00, 2022-08-01, 1
GM, 36.80, 2022-08-08, 1
GM, 37.35, 2022-08-15, 1
T, 20.65, 2022-07-18, 1
T, 18.45, 2022-07-25, 1
T, 18.80, 2022-08-01, 1
T, 18.40, 2022-08-08, 1
T, 18.28, 2022-08-15, 1
BABA, 107.20, 2022-07-18, 1
BABA, 101.25, 2022-07-25, 1
BABA, 90.45, 2022-08-01, 1
BABA, 92.30, 2022-08-08, 1
BABA, 93.76, 2022-08-15, 1
1211.HK, 300.40, 2022-07-18, 1
1211.HK, 284.20, 2022-07-25, 1
1211.HK, 286.80, 2022-08-01, 1
1211.HK, 292.45, 2022-08-08, 1
1211.HK, 294.50, 2022-08-15, 1
0941.HK, 49.10, 2022-07-18, 1
0941.HK, 50.20, 2022-07-25, 1
0941.HK, 49.60, 2022-08-01, 1
0941.HK, 51.05, 2022-08-08, 1
0941.HK, 51.65, 2022-08-15, 1
DTE.DE, 19.15, 2022-07-18, 1
DTE.DE, 18.15, 2022-07-25, 1
DTE.DE, 18.72, 2022-08-01, 1
DTE.DE, 19.05, 2022-08-08, 1
DTE.DE, 19.28, 2022-08-15, 1
RIO, 57.40, 2022-07-18, 1
RIO, 59.95, 2022-07-25, 1
RIO, 61.10, 2022-08-01, 1
RIO, 61.85, 2022-08-08, 1
RIO, 62.63, 2022-08-15, 1
MBGYY, 13.68, 2022-07-18, 1
MBGYY, 14.40, 2022-07-25, 1
MBGYY, 14.85, 2022-08-01, 1
MBGYY, 15.46, 2022-08-08, 1
MBGYY, 15.90, 2022-08-15, 1
IFNNY, 24.10, 2022-07-18, 1
IFNNY, 25.78, 2022-07-25, 1
IFNNY, 27.43, 2022-08-01, 1
IFNNY, 28.60, 2022-08-08, 1
IFNNY, 29.45, 2022-08-15, 1
SPX, 3895.50, 2022-07-18, 1
SPX, 3980.00, 2022-07-25, 1
SPX, 4130.50, 2022-08-01, 1
SPX, 4180.25, 2022-08-08, 1
SPX, 4235.80, 2022-08-15, 1
FXI, 31.90, 2022-07-18, 1
FXI, 31.55, 2022-07-25, 1
FXI, 30.10, 2022-08-01, 1
FXI, 30.22, 2022-08-08, 1
FXI, 30.59, 2022-08-15, 1
