Stock,PredictedPrice,DateTime,Dataset
AMZN, 124.57, 2020-07-11, 1
AMZN, 186.47, 2021-07-11, 2
AMZN, 116.36, 2022-07-11, 3
AMZN, 134.14, 2023-07-11, 4
AMZN, 185.23, 2024-07-11, 5
GM, 25.60, 2020-07-11, 6
GM, 57.56, 2021-07-11, 7
GM, 33.18, 2022-07-11, 8
GM, 37.39, 2023-07-11, 9
GM, 42.74, 2024-07-11, 10
T, 29.97, 2020-07-11, 11
T, 28.64, 2021-07-11, 12
T, 20.92, 2022-07-11, 13
T, 16.05, 2023-07-11, 14
T, 16.82, 2024-07-11, 15
BABA, 242.61, 2020-07-11, 16
BABA, 216.60, 2021-07-11, 17
BABA, 111.93, 2022-07-11, 18
BABA, 87.38, 2023-07-11, 19
BABA, 74.64, 2024-07-11, 20
1211.HK, 89.44, 2020-07-11, 21
1211.HK, 236.01, 2021-07-11, 22
1211.HK, 259.83, 2022-07-11, 23
1211.HK, 231.95, 2023-07-11, 24
1211.HK, 245.67, 2024-07-11, 25
0941.HK, 60.37, 2020-07-11, 26
0941.HK, 48.75, 2021-07-11, 27
0941.HK, 50.85, 2022-07-11, 28
0941.HK, 66.25, 2023-07-11, 29
0941.HK, 58.75, 2024-07-11, 30
DTE.DE, 14.89, 2020-07-11, 31
DTE.DE, 18.55, 2021-07-11, 32
DTE.DE, 18.47, 2022-07-11, 33
DTE.DE, 20.77, 2023-07-11, 34
DTE.DE, 21.54, 2024-07-11, 35
RIO, 62.30, 2020-07-11, 36
RIO, 65.27, 2021-07-11, 37
RIO, 54.47, 2022-07-11, 38
RIO, 67.29, 2023-07-11, 39
RIO, 60.89, 2024-07-11, 40
MBGYY, 12.42, 2020-07-11, 41
MBGYY, 25.89, 2021-07-11, 42
MBGYY, 12.64, 2022-07-11, 43
MBGYY, 21.75, 2023-07-11, 44
MBGYY, 18.58, 2024-07-11, 45
IFNNY, 28.93, 2020-07-11, 46
IFNNY, 41.76, 2021-07-11, 47
IFNNY, 21.57, 2022-07-11, 48
IFNNY, 44.55, 2023-07-11, 49
IFNNY, 45.36, 2024-07-11, 50
SPX, 3214.65, 2020-07-11, 51
SPX, 4359.32, 2021-07-11, 52
SPX, 3792.93, 2022-07-11, 53
SPX, 4479.78, 2023-07-11, 54
SPX, 5254.50, 2024-07-11, 55
FXI, 44.72, 2020-07-11, 56
FXI, 42.48, 2021-07-11, 57
FXI, 30.87, 2022-07-11, 58
FXI, 26.34, 2023-07-11, 59
FXI, 24.19, 2024-07-11, 60
