Stock,PredictedPrice,DateTime,Dataset
AMZN,114.50,2022-07-12,0
AMZN,113.00,2022-07-13,0
AMZN,108.00,2022-07-14,0
AMZN,110.00,2022-07-15,0
AMZN,112.00,2022-07-16,0
GM,32.00,2022-07-12,0
GM,31.50,2022-07-13,0
GM,31.00,2022-07-14,0
GM,31.20,2022-07-15,0
GM,32.00,2022-07-16,0
T,20.80,2022-07-12,0
T,20.70,2022-07-13,0
T,20.50,2022-07-14,0
T,20.20,2022-07-15,0
T,20.40,2022-07-16,0
BABA,114.00,2022-07-12,0
BABA,112.00,2022-07-13,0
BABA,108.00,2022-07-14,0
BABA,109.00,2022-07-15,0
BABA,105.00,2022-07-16,0
1211.HK,300.00,2022-07-12,0
1211.HK,290.00,2022-07-13,0
1211.HK,275.00,2022-07-14,0
1211.HK,272.00,2022-07-15,0
1211.HK,290.00,2022-07-16,0
0941.HK,49.00,2022-07-12,0
0941.HK,49.20,2022-07-13,0
0941.HK,49.60,2022-07-14,0
0941.HK,49.70,2022-07-15,0
0941.HK,49.30,2022-07-16,0
DTE.DE,19.30,2022-07-12,0
DTE.DE,19.25,2022-07-13,0
DTE.DE,19.20,2022-07-14,0
DTE.DE,19.10,2022-07-15,0
DTE.DE,19.00,2022-07-16,0
RIO,57.50,2022-07-12,0
RIO,57.00,2022-07-13,0
RIO,56.80,2022-07-14,0
RIO,55.50,2022-07-15,0
RIO,54.80,2022-07-16,0
MBGYY,13.80,2022-07-12,0
MBGYY,13.30,2022-07-13,0
MBGYY,13.00,2022-07-14,0
MBGYY,12.80,2022-07-15,0
MBGYY,13.00,2022-07-16,0
IFNNY,23.00,2022-07-12,0
IFNNY,22.80,2022-07-13,0
IFNNY,22.50,2022-07-14,0
IFNNY,22.70,2022-07-15,0
IFNNY,23.00,2022-07-16,0
SPX,3870.00,2022-07-12,0
SPX,3840.00,2022-07-13,0
SPX,3780.00,2022-07-14,0
SPX,3770.00,2022-07-15,0
SPX,3800.00,2022-07-16,0
FXI,32.20,2022-07-12,0
FXI,31.80,2022-07-13,0
FXI,31.20,2022-07-14,0
FXI,31.30,2022-07-15,0
FXI,30.80,2022-07-16,0
