Stock,PredictedPrice,DateTime,Dataset
AMZN,116.00,2022-08-11,3
AMZN,145.00,2022-09-11,3
AMZN,135.00,2022-10-11,3
AMZN,115.00,2022-11-11,3
AMZN,100.00,2022-12-11,3
GM,32.50,2022-08-11,3
GM,39.00,2022-09-11,3
GM,42.00,2022-10-11,3
GM,33.00,2022-11-11,3
GM,42.00,2022-12-11,3
T,21.00,2022-08-11,3
T,18.50,2022-09-11,3
T,17.50,2022-10-11,3
T,15.00,2022-11-11,3
T,19.00,2022-12-11,3
BABA,110.00,2022-08-11,3
BABA,95.00,2022-09-11,3
BABA,93.00,2022-10-11,3
BABA,78.00,2022-11-11,3
BABA,73.00,2022-12-11,3
1211.HK,300.00,2022-08-11,3
1211.HK,285.00,2022-09-11,3
1211.HK,225.00,2022-10-11,3
1211.HK,190.00,2022-11-11,3
1211.HK,195.00,2022-12-11,3
0941.HK,49.00,2022-08-11,3
0941.HK,52.00,2022-09-11,3
0941.HK,52.00,2022-10-11,3
0941.HK,51.00,2022-11-11,3
0941.HK,50.00,2022-12-11,3
DTE.DE,19.50,2022-08-11,3
DTE.DE,19.00,2022-09-11,3
DTE.DE,19.80,2022-10-11,3
DTE.DE,17.80,2022-11-11,3
DTE.DE,19.60,2022-12-11,3
RIO,58.00,2022-08-11,3
RIO,60.00,2022-09-11,3
RIO,58.50,2022-10-11,3
RIO,57.00,2022-11-11,3
RIO,64.00,2022-12-11,3
MBGYY,14.00,2022-08-11,3
MBGYY,16.00,2022-09-11,3
MBGYY,14.50,2022-10-11,3
MBGYY,13.00,2022-11-11,3
MBGYY,16.80,2022-12-11,3
IFNNY,23.50,2022-08-11,3
IFNNY,28.50,2022-09-11,3
IFNNY,26.00,2022-10-11,3
IFNNY,23.50,2022-11-11,3
IFNNY,30.50,2022-12-11,3
SPX,3900.00,2022-08-11,3
SPX,4250.00,2022-09-11,3
SPX,4100.00,2022-10-11,3
SPX,3600.00,2022-11-11,3
SPX,3980.00,2022-12-11,3
FXI,32.00,2022-08-11,3
FXI,30.00,2022-09-11,3
FXI,29.80,2022-10-11,3
FXI,25.20,2022-11-11,3
FXI,25.50,2022-12-11,3
