Stock,PredictedPrice,DateTime,Dataset
AMZN,116.50,2022-10-11,4
AMZN,114.00,2023-01-11,4
AMZN,92.00,2023-04-11,4
AMZN,101.50,2023-07-11,4
AMZN,130.00,2023-10-11,4
GM,32.50,2022-10-11,4
GM,32.80,2023-01-11,4
GM,38.00,2023-04-11,4
GM,36.50,2023-07-11,4
GM,40.00,2023-10-11,4
T,21.00,2022-10-11,4
T,15.00,2023-01-11,4
T,19.50,2023-04-11,4
T,20.00,2023-07-11,4
T,16.00,2023-10-11,4
BABA,110.00,2022-10-11,4
BABA,80.00,2023-01-11,4
BABA,115.00,2023-04-11,4
BABA,105.00,2023-07-11,4
BABA,95.00,2023-10-11,4
1211.HK,300.00,2022-10-11,4
1211.HK,190.00,2023-01-11,4
1211.HK,210.00,2023-04-11,4
1211.HK,230.00,2023-07-11,4
1211.HK,260.00,2023-10-11,4
0941.HK,49.00,2022-10-11,4
0941.HK,51.00,2023-01-11,4
0941.HK,54.00,2023-04-11,4
0941.HK,65.00,2023-07-11,4
0941.HK,63.00,2023-10-11,4
DTE.DE,19.50,2022-10-11,4
DTE.DE,18.00,2023-01-11,4
DTE.DE,20.00,2023-04-11,4
DTE.DE,22.50,2023-07-11,4
DTE.DE,20.00,2023-10-11,4
RIO,58.00,2022-10-11,4
RIO,57.00,2023-01-11,4
RIO,75.00,2023-04-11,4
RIO,70.00,2023-07-11,4
RIO,65.00,2023-10-11,4
MBGYY,14.00,2022-10-11,4
MBGYY,13.00,2023-01-11,4
MBGYY,18.00,2023-04-11,4
MBGYY,19.00,2023-07-11,4
MBGYY,20.00,2023-10-11,4
IFNNY,23.50,2022-10-11,4
IFNNY,23.00,2023-01-11,4
IFNNY,34.00,2023-04-11,4
IFNNY,39.00,2023-07-11,4
IFNNY,41.00,2023-10-11,4
SPX,3900.00,2022-10-11,4
SPX,3600.00,2023-01-11,4
SPX,3950.00,2023-04-11,4
SPX,4100.00,2023-07-11,4
SPX,4400.00,2023-10-11,4
FXI,32.00,2022-10-11,4
FXI,25.00,2023-01-11,4
FXI,32.00,2023-04-11,4
FXI,30.00,2023-07-11,4
FXI,28.00,2023-10-11,4
