Stock,PredictedPrice,DateTime,Dataset
AMZN,115.50,2022-07-18,2
AMZN,116.00,2022-07-25,2
AMZN,123.50,2022-08-01,2
AMZN,135.50,2022-08-08,2
AMZN,143.00,2022-08-15,2
GM,32.50,2022-07-18,2
GM,33.80,2022-07-25,2
GM,35.20,2022-08-01,2
GM,36.50,2022-08-08,2
GM,37.00,2022-08-15,2
T,20.80,2022-07-18,2
T,20.70,2022-07-25,2
T,18.50,2022-08-01,2
T,19.00,2022-08-08,2
T,18.50,2022-08-15,2
BABA,108.00,2022-07-18,2
BABA,100.00,2022-07-25,2
BABA,95.00,2022-08-01,2
BABA,85.00,2022-08-08,2
BABA,88.00,2022-08-15,2
1211.HK,290.00,2022-07-18,2
1211.HK,285.00,2022-07-25,2
1211.HK,275.00,2022-08-01,2
1211.HK,280.00,2022-08-08,2
1211.HK,285.00,2022-08-15,2
0941.HK,49.00,2022-07-18,2
0941.HK,49.00,2022-07-25,2
0941.HK,50.00,2022-08-01,2
0941.HK,50.00,2022-08-08,2
0941.HK,51.00,2022-08-15,2
DTE.DE,19.30,2022-07-18,2
DTE.DE,19.20,2022-07-25,2
DTE.DE,18.50,2022-08-01,2
DTE.DE,18.80,2022-08-08,2
DTE.DE,19.00,2022-08-15,2
RIO,58.00,2022-07-18,2
RIO,57.50,2022-07-25,2
RIO,59.50,2022-08-01,2
RIO,60.50,2022-08-08,2
RIO,61.00,2022-08-15,2
MBGYY,13.80,2022-07-18,2
MBGYY,13.70,2022-07-25,2
MBGYY,14.30,2022-08-01,2
MBGYY,14.80,2022-08-08,2
MBGYY,15.20,2022-08-15,2
IFNNY,23.50,2022-07-18,2
IFNNY,24.00,2022-07-25,2
IFNNY,25.00,2022-08-01,2
IFNNY,26.50,2022-08-08,2
IFNNY,27.50,2022-08-15,2
SPX,3900.00,2022-07-18,2
SPX,3905.00,2022-07-25,2
SPX,3980.00,2022-08-01,2
SPX,4120.00,2022-08-08,2
SPX,4160.00,2022-08-15,2
FXI,32.00,2022-07-18,2
FXI,31.50,2022-07-25,2
FXI,31.00,2022-08-01,2
FXI,29.50,2022-08-08,2
FXI,29.50,2022-08-15,2
