Stock,PredictedPrice,DateTime,Dataset
AMZN,103.50,2020-07-10,4
AMZN,162.25,2021-07-09,4
AMZN,190.80,2022-07-08,4
AMZN,116.50,2023-07-10,4
AMZN,130.25,2024-07-10,4
GM,39.80,2020-07-10,4
GM,25.20,2021-07-09,4
GM,60.50,2022-07-08,4
GM,33.50,2023-07-10,4
GM,41.20,2024-07-10,4
T,26.80,2020-07-10,4
T,23.60,2021-07-09,4
T,22.60,2022-07-08,4
T,21.50,2023-07-10,4
T,16.30,2024-07-10,4
BABA,170.20,2020-07-10,4
BABA,265.50,2021-07-09,4
BABA,210.80,2022-07-08,4
BABA,118.50,2023-07-10,4
BABA,93.50,2024-07-10,4
1211.HK,50.20,2020-07-10,4
1211.HK,78.50,2021-07-09,4
1211.HK,228.60,2022-07-08,4
1211.HK,320.50,2023-07-10,4
1211.HK,262.50,2024-07-10,4
0941.HK,72.50,2020-07-10,4
0941.HK,58.50,2021-07-09,4
0941.HK,49.20,2022-07-08,4
0941.HK,50.50,2023-07-10,4
0941.HK,65.00,2024-07-10,4
DTE.DE,16.20,2020-07-10,4
DTE.DE,15.80,2021-07-09,4
DTE.DE,18.80,2022-07-08,4
DTE.DE,20.00,2023-07-10,4
DTE.DE,20.20,2024-07-10,4
RIO,62.50,2020-07-10,4
RIO,61.00,2021-07-09,4
RIO,60.00,2022-07-08,4
RIO,60.00,2023-07-10,4
RIO,66.00,2024-07-10,4
MBGYY,14.00,2020-07-10,4
MBGYY,11.00,2021-07-09,4
MBGYY,25.00,2022-07-08,4
MBGYY,15.00,2023-07-10,4
MBGYY,21.00,2024-07-10,4
IFNNY,19.00,2020-07-10,4
IFNNY,27.00,2021-07-09,4
IFNNY,41.00,2022-07-08,4
IFNNY,25.00,2023-07-10,4
IFNNY,42.00,2024-07-10,4
SPX,3050.00,2020-07-10,4
SPX,3250.00,2021-07-09,4
SPX,4450.00,2022-07-08,4
SPX,3950.00,2023-07-10,4
SPX,4500.00,2024-07-10,4
FXI,43.50,2020-07-10,4
FXI,47.00,2021-07-09,4
FXI,45.00,2022-07-08,4
FXI,33.00,2023-07-10,4
FXI,28.00,2024-07-10,4
