model1,country1,model2,country2,symbol,industry,country,covariance,r_coeff,std1,std2,time
Claude,US,Gemini,US,AMZN,tech,US,148.736245,0.9470430281495641,11.360562310026731,11.059545017766332,weekly
Claude,US,Gemini,US,GM,auto,US,3.2548749999999966,0.9966464659759333,1.4987995196156143,1.743169527039754,weekly
Claude,US,Gemini,US,T,comm,US,0.6904799999999994,0.5876328906815212,0.8840950175179132,1.063251616504767,weekly
Claude,US,Gemini,US,BABA,tech,China,64.46779999999998,0.853299468207013,6.286370654041964,9.614603475963008,weekly
Claude,US,Gemini,US,1211.HK,auto,China,53.37599999999989,0.6191743265430097,5.733201548873015,12.028898536441316,weekly
Claude,US,Gemini,US,0941.HK,comm,China,0.5109999999999992,0.709106688898701,0.9298386956886647,0.6200000000000006,weekly
Claude,US,Gemini,US,DTE.DE,comm,EU,0.003399999999999636,0.016581323600700158,0.404919745134762,0.4051172669734046,weekly
Claude,US,Gemini,US,MBGYY,auto,EU,0.5666050000000002,0.9288817356760124,0.7804716522718813,0.6252487504985517,weekly
Claude,US,Gemini,US,IFNNY,tech,EU,4.568469999999998,0.9785628970874976,1.9297606069147535,1.93539039989352,weekly
Claude,US,Gemini,US,SPX,index,US,16855.471850000016,0.9245754317787471,127.13533104530782,114.71555071567249,weekly
Claude,US,Gemini,US,FXI,index,China,0.6784150000000008,0.7360222518085145,0.7234749477348884,1.0192271581938945,weekly
Claude,US,GPT,US,AMZN,tech,US,147.23118999999988,0.9480886968793873,11.360562310026731,10.935559610737801,weekly
Claude,US,GPT,US,GM,auto,US,3.289724999999999,0.997386072082777,1.4987995196156143,1.7605271937689584,weekly
Claude,US,GPT,US,T,comm,US,0.673349999999999,0.5981593929401808,0.8840950175179132,1.018626526259748,weekly
Claude,US,GPT,US,BABA,tech,China,64.27435000000003,0.8522254574563347,6.286370654041964,9.597833088775822,weekly
Claude,US,GPT,US,1211.HK,auto,China,53.14574999999986,0.6210717277347519,5.733201548873015,11.940418753125877,weekly
Claude,US,GPT,US,0941.HK,comm,China,0.5109999999999992,0.709106688898701,0.9298386956886647,0.6200000000000006,weekly
Claude,US,GPT,US,DTE.DE,comm,EU,0.003399999999999636,0.016581323600700158,0.404919745134762,0.4051172669734046,weekly
Claude,US,GPT,US,MBGYY,auto,EU,0.5666050000000002,0.9288817356760124,0.7804716522718813,0.6252487504985517,weekly
Claude,US,GPT,US,IFNNY,tech,EU,4.568469999999998,0.9785628970874976,1.9297606069147535,1.93539039989352,weekly
Claude,US,GPT,US,SPX,index,US,16855.471850000016,0.9245754317787471,127.13533104530782,114.71555071567249,weekly
Claude,US,GPT,US,FXI,index,China,0.6784150000000008,0.7360222518085145,0.7234749477348884,1.0192271581938945,weekly
Claude,US,Mistral,EU,AMZN,tech,US,83.03631460353655,0.9536380316885027,11.360562310026731,6.131611949780758,weekly
Claude,US,Mistral,EU,GM,auto,US,0.5334020369301556,0.4602720090875457,1.4987995196156143,0.6185667150664742,weekly
Claude,US,Mistral,EU,T,comm,US,1.0553205819613831,0.6161286427212449,0.8840950175179132,1.5499013388007428,weekly
Claude,US,Mistral,EU,BABA,tech,China,-180.59755378651832,-0.4627652610641251,6.286370654041964,49.663933820241745,weekly
Claude,US,Mistral,EU,1211.HK,auto,China,135.40616378214744,0.3604544286515436,5.733201548873015,52.41804820519231,weekly
Claude,US,Mistral,EU,0941.HK,comm,China,58.03910576951046,0.9053406253975115,0.9298386956886647,55.155785624364654,weekly
Claude,US,Mistral,EU,DTE.DE,comm,EU,3.409897326047414,0.5957638265632353,0.404919745134762,11.308062604787935,weekly
Claude,US,Mistral,EU,MBGYY,auto,EU,9.85920117429303,0.8652151632708565,0.7804716522718813,11.68020485467357,weekly
Claude,US,Mistral,EU,IFNNY,tech,EU,25.493561583393387,0.8490031495627899,1.9297606069147535,12.4482345249943,weekly
Claude,US,Mistral,EU,SPX,index,US,10691.280856702477,0.9258651114552487,127.13533104530782,72.66173237862809,weekly
Claude,US,Mistral,EU,FXI,index,China,-25.730456974409307,-0.5241942846968747,0.7234749477348884,54.27773392710541,weekly
Claude,US,Cohere,Canada,AMZN,tech,US,145.52424999999994,0.9407481147200402,11.360562310026731,10.893117092916976,weekly
Claude,US,Cohere,Canada,GM,auto,US,3.114999999999998,0.9943422867986712,1.4987995196156143,1.672124397286279,weekly
Claude,US,Cohere,Canada,T,comm,US,0.6762499999999995,0.5899187315149967,0.8840950175179132,1.0373041983911953,weekly
Claude,US,Cohere,Canada,BABA,tech,China,55.8845,0.8589066556063661,6.286370654041964,8.28009661779378,weekly
Claude,US,Cohere,Canada,1211.HK,auto,China,22.11249999999994,0.6051234028701523,5.733201548873015,5.0990195135927845,weekly
Claude,US,Cohere,Canada,0941.HK,comm,China,0.6674999999999986,0.7674315117394299,0.9298386956886647,0.7483314773547882,weekly
Claude,US,Cohere,Canada,DTE.DE,comm,EU,-0.0052499999999998815,-0.0361340573679709,0.404919745134762,0.28705400188814645,weekly
Claude,US,Cohere,Canada,MBGYY,auto,EU,0.52565,0.9373666605858486,0.7804716522718813,0.5748043145279965,weekly
