time,model1,model2,avg_covariance,median_covariance,min_covariance,max_covariance
yearly,Claude,Cohere,27227.85116363636,15.522450000000063,-94.10594999999999,290715.19999999995
yearly,Claude,Deepseek,26583.963090909077,19.5785,-91.10080000000002,283619.2730999999
yearly,Claude,Doubao,26522.84973181818,21.301,-93.29410000000003,281997.8699
yearly,Claude,GPT,26544.47847045455,19.489800000000002,-90.787805,283241.99563
yearly,Claude,Gemini,26543.956152272727,19.489800000000002,-90.787805,283241.99563
yearly,Claude,Mistral,19934.727609677073,20.446465625314243,-98.02507447019363,211201.8393803166
yearly,Claude,Qwen,-1641.1218063636472,-5.984650000000003,-22418.654255000118,5448.4094749999995
yearly,Cohere,Claude,27227.85116363636,15.522450000000063,-94.10594999999999,290715.19999999995
yearly,Cohere,Deepseek,41986.418590909074,103.315,4.4449999999999985,441351.4999999999
yearly,Cohere,Doubao,40313.40388636364,112.97,6.89,421708.49999999994
yearly,Cohere,GPT,41803.56291363637,102.62900000000002,4.394,439479.70000000007
yearly,Cohere,Gemini,41803.455186363644,102.62900000000002,4.394,439479.70000000007
yearly,Cohere,Mistral,42303.35964713461,97.78142406498647,3.910213142763164,445308.0573585136
yearly,Cohere,Qwen,170.60870681818471,3.2884999999999995,-9581.574999999968,14193.4721
yearly,Deepseek,Claude,26583.963090909077,19.5785,-91.10080000000002,283619.2730999999
yearly,Deepseek,Cohere,41986.418590909074,103.315,4.4449999999999985,441351.4999999999
yearly,Deepseek,Doubao,39734.57509090908,112.024,7.0425,415345.30299999984
yearly,Deepseek,GPT,41211.56445000001,101.84155000000003,4.50125,432974.5681000001
yearly,Deepseek,Gemini,41211.45126818183,101.84155000000003,4.50125,432974.5681000001
yearly,Deepseek,Mistral,41740.83797910128,97.05464394882912,4.010520766541685,439126.7051778937
yearly,Deepseek,Qwen,246.48893181818977,3.3437499999999996,-8746.61084999991,14190.128299999998
yearly,Doubao,Claude,26522.84973181818,21.301,-93.29410000000003,281997.8699
yearly,Doubao,Cohere,40313.40388636364,112.97,6.89,421708.49999999994
yearly,Doubao,Deepseek,39734.57509090908,112.024,7.0425,415345.30299999984
yearly,Doubao,GPT,39563.544686363646,111.2909,6.977300000000001,413612.39440000005
yearly,Doubao,Gemini,39563.43650454546,111.2909,6.977300000000001,413612.39440000005
yearly,Doubao,Mistral,39994.3817823066,106.17156872062526,5.944267430617142,418717.23680354696
yearly,Doubao,Qwen,-976.439086363634,4.483950000000004,-23073.357899999974,15072.0828
yearly,GPT,Claude,26544.47847045455,19.489800000000002,-90.787805,283241.99563
yearly,GPT,Cohere,41803.56291363637,102.62900000000002,4.394,439479.70000000007
yearly,GPT,Deepseek,41211.56445000001,101.84155000000003,4.50125,432974.5681000001
yearly,GPT,Doubao,39563.544686363646,111.2909,6.977300000000001,413612.39440000005
yearly,GPT,Gemini,41031.73627363638,101.16188000000001,4.449620000000001,431136.2996800002
yearly,GPT,Mistral,41537.801527041025,96.42210604028594,3.9528687008422145,437029.716945619
yearly,GPT,Qwen,179.1281413636423,3.320225,-9401.894904999936,14089.291200000001
yearly,Gemini,Claude,26543.956152272727,19.489800000000002,-90.787805,283241.99563
yearly,Gemini,Cohere,41803.455186363644,102.62900000000002,4.394,439479.70000000007
yearly,Gemini,Deepseek,41211.45126818183,101.84155000000003,4.50125,432974.5681000001
yearly,Gemini,Doubao,39563.43650454546,111.2909,6.977300000000001,413612.39440000005
yearly,Gemini,GPT,41031.73627363638,101.16188000000001,4.449620000000001,431136.2996800002
yearly,Gemini,Mistral,41537.68754792192,96.42210604028594,3.9528687008422145,437029.716945619
yearly,Gemini,Qwen,179.03625500000598,3.320225,-9401.894904999936,14089.291200000001
yearly,Mistral,Claude,19934.727609677073,20.446465625314243,-98.02507447019363,211201.8393803166
yearly,Mistral,Cohere,42303.35964713461,97.78142406498647,3.910213142763164,445308.0573585136
yearly,Mistral,Deepseek,41740.83797910128,97.05464394882912,4.010520766541685,439126.7051778937
yearly,Mistral,Doubao,39994.3817823066,106.17156872062526,5.944267430617142,418717.23680354696
yearly,Mistral,GPT,41537.801527041025,96.42210604028594,3.9528687008422145,437029.716945619
yearly,Mistral,Gemini,41537.68754792192,96.42210604028594,3.9528687008422145,437029.716945619
yearly,Mistral,Qwen,860.1375170774159,2.270285189038839,-2395.1137332890894,14051.13737576297
yearly,Qwen,Claude,-1641.1218063636472,-5.984650000000003,-22418.654255000118,5448.4094749999995
yearly,Qwen,Cohere,170.60870681818471,3.2884999999999995,-9581.574999999968,14193.4721
yearly,Qwen,Deepseek,246.48893181818977,3.3437499999999996,-8746.61084999991,14190.128299999998
yearly,Qwen,Doubao,-976.439086363634,4.483950000000004,-23073.357899999974,15072.0828
yearly,Qwen,GPT,179.1281413636423,3.320225,-9401.894904999936,14089.291200000001
yearly,Qwen,Gemini,179.03625500000598,3.320225,-9401.894904999936,14089.291200000001
yearly,Qwen,Mistral,860.1375170774159,2.270285189038839,-2395.1137332890894,14051.13737576297
