Stock,PredictedPrice,DateTime,Dataset
AMZN, 115.5, 2022-07-12, 0
AMZN, 113.2, 2022-07-13, 0
AMZN, 108.1, 2022-07-14, 0
AMZN, 111.3, 2022-07-15, 0
AMZN, 112.5, 2022-07-16, 0
GM, 32.2, 2022-07-12, 0
GM, 31.1, 2022-07-13, 0
GM, 31.0, 2022-07-14, 0
GM, 31.4, 2022-07-15, 0
GM, 32.3, 2022-07-16, 0
T, 20.8, 2022-07-12, 0
T, 20.7, 2022-07-13, 0
T, 20.5, 2022-07-14, 0
T, 20.2, 2022-07-15, 0
T, 20.6, 2022-07-16, 0
BABA, 116.6, 2022-07-12, 0
BABA, 111.9, 2022-07-13, 0
BABA, 107.8, 2022-07-14, 0
BABA, 108.8, 2022-07-15, 0
BABA, 104.4, 2022-07-16, 0
1211.HK, 319.2, 2022-07-12, 0
1211.HK, 293.2, 2022-07-13, 0
1211.HK, 276.2, 2022-07-14, 0
1211.HK, 272.2, 2022-07-15, 0
1211.HK, 298.4, 2022-07-16, 0
0941.HK, 49.3, 2022-07-12, 0
0941.HK, 49.5, 2022-07-13, 0
0941.HK, 50.1, 2022-07-14, 0
0941.HK, 50.2, 2022-07-15, 0
0941.HK, 49.6, 2022-07-16, 0
DTE.DE, 19.4, 2022-07-12, 0
DTE.DE, 19.4, 2022-07-13, 0
DTE.DE, 19.5, 2022-07-14, 0
DTE.DE, 19.3, 2022-07-15, 0
DTE.DE, 19.1, 2022-07-16, 0
RIO, 58.2, 2022-07-12, 0
RIO, 57.7, 2022-07-13, 0
RIO, 57.6, 2022-07-14, 0
RIO, 55.5, 2022-07-15, 0
RIO, 54.7, 2022-07-16, 0
MBGYY, 13.9, 2022-07-12, 0
MBGYY, 13.3, 2022-07-13, 0
MBGYY, 13.0, 2022-07-14, 0
MBGYY, 12.8, 2022-07-15, 0
MBGYY, 13.2, 2022-07-16, 0
IFNNY, 23.4, 2022-07-12, 0
IFNNY, 22.9, 2022-07-13, 0
IFNNY, 22.5, 2022-07-14, 0
IFNNY, 22.9, 2022-07-15, 0
IFNNY, 23.3, 2022-07-16, 0
SPX, 3912.5, 2022-07-12, 0
SPX, 3883.2, 2022-07-13, 0
SPX, 3810.3, 2022-07-14, 0
SPX, 3794.1, 2022-07-15, 0
SPX, 3848.3, 2022-07-16, 0
FXI, 32.7, 2022-07-12, 0
FXI, 32.3, 2022-07-13, 0
FXI, 31.6, 2022-07-14, 0
FXI, 31.7, 2022-07-15, 0
FXI, 31.2, 2022-07-16, 0
