Stock,PredictedPrice,DateTime,Dataset
AMZN, 114.8, 2022-10-11, 0
AMZN, 113.5, 2023-01-11, 0
AMZN, 91.7, 2023-04-11, 0
AMZN, 101.6, 2023-07-11, 0
AMZN, 128.6, 2023-10-11, 0
GM, 32.1, 2022-10-11, 0
GM, 32.2, 2023-01-11, 0
GM, 37.6, 2023-04-11, 0
GM, 36.1, 2023-07-11, 0
GM, 39.8, 2023-10-11, 0
T, 20.8, 2022-10-11, 0
T, 14.9, 2023-01-11, 0
T, 19.4, 2023-04-11, 0
T, 19.7, 2023-07-11, 0
T, 15.4, 2023-10-11, 0
BABA, 116.2, 2022-10-11, 0
BABA, 77.9, 2023-01-11, 0
BABA, 115.4, 2023-04-11, 0
BABA, 103.2, 2023-07-11, 0
BABA, 91.6, 2023-10-11, 0
1211.HK, 318.7, 2022-10-11, 0
1211.HK, 189.4, 2023-01-11, 0
1211.HK, 209.5, 2023-04-11, 0
1211.HK, 229.3, 2023-07-11, 0
1211.HK, 260.3, 2023-10-11, 0
0941.HK, 49.2, 2022-10-11, 0
0941.HK, 50.7, 2023-01-11, 0
0941.HK, 53.8, 2023-04-11, 0
0941.HK, 66.4, 2023-07-11, 0
0941.HK, 62.9, 2023-10-11, 0
DTE.DE, 19.4, 2022-10-11, 0
DTE.DE, 17.8, 2023-01-11, 0
DTE.DE, 20.0, 2023-04-11, 0
DTE.DE, 22.8, 2023-07-11, 0
DTE.DE, 19.5, 2023-10-11, 0
RIO, 58.1, 2022-10-11, 0
RIO, 56.9, 2023-01-11, 0
RIO, 76.7, 2023-04-11, 0
RIO, 69.5, 2023-07-11, 0
RIO, 64.5, 2023-10-11, 0
MBGYY, 13.8, 2022-10-11, 0
MBGYY, 12.8, 2023-01-11, 0
MBGYY, 18.4, 2023-04-11, 0
MBGYY, 18.8, 2023-07-11, 0
MBGYY, 19.9, 2023-10-11, 0
IFNNY, 23.3, 2022-10-11, 0
IFNNY, 23.2, 2023-01-11, 0
IFNNY, 33.8, 2023-04-11, 0
IFNNY, 39.1, 2023-07-11, 0
IFNNY, 40.7, 2023-10-11, 0
SPX, 3905.2, 2022-10-11, 0
SPX, 3618.4, 2023-01-11, 0
SPX, 3956.7, 2023-04-11, 0
SPX, 4134.6, 2023-07-11, 0
SPX, 4439.9, 2023-10-11, 0
FXI, 32.7, 2022-10-11, 0
FXI, 25.2, 2023-01-11, 0
FXI, 31.9, 2023-04-11, 0
FXI, 29.6, 2023-07-11, 0
FXI, 27.3, 2023-10-11, 0
