Stock,PredictedPrice,DateTime,Dataset
AMZN, 115.2, 2022-07-18, 1
AMZN, 116.1, 2022-07-25, 1
AMZN, 123.8, 2022-08-01, 1
AMZN, 136.1, 2022-08-08, 1
AMZN, 143.2, 2022-08-15, 1
GM, 32.1, 2022-07-18, 1
GM, 33.5, 2022-07-25, 1
GM, 35.0, 2022-08-01, 1
GM, 36.3, 2022-08-08, 1
GM, 36.9, 2022-08-15, 1
T, 20.8, 2022-07-18, 1
T, 20.7, 2022-07-25, 1
T, 18.5, 2022-08-01, 1
T, 19.0, 2022-08-08, 1
T, 18.5, 2022-08-15, 1
BABA, 116.2, 2022-07-18, 1
BABA, 106.6, 2022-07-25, 1
BABA, 101.2, 2022-08-01, 1
BABA, 89.9, 2022-08-08, 1
BABA, 92.2, 2022-08-15, 1
1211.HK, 318.9, 2022-07-18, 1
1211.HK, 300.0, 2022-07-25, 1
1211.HK, 283.5, 2022-08-01, 1
1211.HK, 290.0, 2022-08-08, 1
1211.HK, 292.5, 2022-08-15, 1
0941.HK, 49.2, 2022-07-18, 1
0941.HK, 49.2, 2022-07-25, 1
0941.HK, 50.0, 2022-08-01, 1
0941.HK, 49.7, 2022-08-08, 1
0941.HK, 51.0, 2022-08-15, 1
DTE.DE, 19.4, 2022-07-18, 1
DTE.DE, 19.3, 2022-07-25, 1
DTE.DE, 18.3, 2022-08-01, 1
DTE.DE, 18.8, 2022-08-08, 1
DTE.DE, 19.1, 2022-08-15, 1
RIO, 58.1, 2022-07-18, 1
RIO, 57.6, 2022-07-25, 1
RIO, 60.0, 2022-08-01, 1
RIO, 61.2, 2022-08-08, 1
RIO, 61.8, 2022-08-15, 1
MBGYY, 13.8, 2022-07-18, 1
MBGYY, 13.8, 2022-07-25, 1
MBGYY, 14.4, 2022-08-01, 1
MBGYY, 14.9, 2022-08-08, 1
MBGYY, 15.5, 2022-08-15, 1
IFNNY, 23.3, 2022-07-18, 1
IFNNY, 24.0, 2022-07-25, 1
IFNNY, 25.7, 2022-08-01, 1
IFNNY, 27.4, 2022-08-08, 1
IFNNY, 28.5, 2022-08-15, 1
SPX, 3905.2, 2022-07-18, 1
SPX, 3908.0, 2022-07-25, 1
SPX, 3990.0, 2022-08-01, 1
SPX, 4136.7, 2022-08-08, 1
SPX, 4180.0, 2022-08-15, 1
FXI, 32.7, 2022-07-18, 1
FXI, 32.1, 2022-07-25, 1
FXI, 31.7, 2022-08-01, 1
FXI, 30.2, 2022-08-08, 1
FXI, 30.2, 2022-08-15, 1
