Stock,PredictedPrice,DateTime,Dataset
AMZN, 102.3, 2020-07-11, 5
AMZN, 162.0, 2021-07-11, 5
AMZN, 188.7, 2022-07-11, 5
AMZN, 115.0, 2023-07-11, 5
AMZN, 128.8, 2024-07-11, 5
GM, 38.5, 2020-07-11, 5
GM, 24.6, 2021-07-11, 5
GM, 59.3, 2022-07-11, 5
GM, 32.1, 2023-07-11, 5
GM, 39.8, 2024-07-11, 5
T, 25.8, 2020-07-11, 5
T, 22.7, 2021-07-11, 5
T, 21.7, 2022-07-11, 5
T, 20.8, 2023-07-11, 5
T, 15.4, 2024-07-11, 5
BABA, 168.7, 2020-07-11, 5
BABA, 263.7, 2021-07-11, 5
BABA, 208.6, 2022-07-11, 5
BABA, 116.2, 2023-07-11, 5
BABA, 91.6, 2024-07-11, 5
1211.HK, 48.3, 2020-07-11, 5
1211.HK, 76.3, 2021-07-11, 5
1211.HK, 225.1, 2022-07-11, 5
1211.HK, 318.9, 2023-07-11, 5
1211.HK, 260.3, 2024-07-11, 5
0941.HK, 70.8, 2020-07-11, 5
0941.HK, 56.8, 2021-07-11, 5
0941.HK, 47.4, 2022-07-11, 5
0941.HK, 49.2, 2023-07-11, 5
0941.HK, 62.9, 2024-07-11, 5
DTE.DE, 15.5, 2020-07-11, 5
DTE.DE, 15.0, 2021-07-11, 5
DTE.DE, 18.1, 2022-07-11, 5
DTE.DE, 19.4, 2023-07-11, 5
DTE.DE, 19.5, 2024-07-11, 5
RIO, 61.2, 2020-07-11, 5
RIO, 59.4, 2021-07-11, 5
RIO, 58.1, 2022-07-11, 5
RIO, 58.1, 2023-07-11, 5
RIO, 64.5, 2024-07-11, 5
MBGYY, 13.2, 2020-07-11, 5
MBGYY, 10.3, 2021-07-11, 5
MBGYY, 24.1, 2022-07-11, 5
MBGYY, 13.8, 2023-07-11, 5
MBGYY, 19.9, 2024-07-11, 5
IFNNY, 18.1, 2020-07-11, 5
IFNNY, 26.0, 2021-07-11, 5
IFNNY, 39.7, 2022-07-11, 5
IFNNY, 23.3, 2023-07-11, 5
IFNNY, 40.7, 2024-07-11, 5
SPX, 3020.0, 2020-07-11, 5
SPX, 3209.0, 2021-07-11, 5
SPX, 4401.0, 2022-07-11, 5
SPX, 3905.2, 2023-07-11, 5
SPX, 4439.9, 2024-07-11, 5
FXI, 42.4, 2020-07-11, 5
FXI, 46.1, 2021-07-11, 5
FXI, 44.5, 2022-07-11, 5
FXI, 32.7, 2023-07-11, 5
FXI, 27.3, 2024-07-11, 5
