Stock,PredictedPrice,DateTime,Dataset
AMZN,113.5,2022-07-12,0
AMZN,111.0,2022-07-13,0
AMZN,105.5,2022-07-14,0
AMZN,108.8,2022-07-15,0
AMZN,111.2,2022-07-16,0
GM,31.5,2022-07-12,0
GM,30.6,2022-07-13,0
GM,30.5,2022-07-14,0
GM,30.9,2022-07-15,0
GM,32.0,2022-07-16,0
T,20.5,2022-07-12,0
T,20.4,2022-07-13,0
T,20.2,2022-07-14,0
T,19.9,2022-07-15,0
T,20.3,2022-07-16,0
BABA,113.0,2022-07-12,0
BABA,108.0,2022-07-13,0
BABA,104.5,2022-07-14,0
BABA,105.5,2022-07-15,0
BABA,101.0,2022-07-16,0
1211.HK,302.0,2022-07-12,0
1211.HK,282.0,2022-07-13,0
1211.HK,266.0,2022-07-14,0
1211.HK,262.0,2022-07-15,0
1211.HK,288.0,2022-07-16,0
0941.HK,49.0,2022-07-12,0
0941.HK,49.3,2022-07-13,0
0941.HK,49.5,2022-07-14,0
0941.HK,49.6,2022-07-15,0
0941.HK,49.0,2022-07-16,0
DTE.DE,19.2,2022-07-12,0
DTE.DE,19.2,2022-07-13,0
DTE.DE,19.3,2022-07-14,0
DTE.DE,19.0,2022-07-15,0
DTE.DE,18.7,2022-07-16,0
RIO,57.5,2022-07-12,0
RIO,57.0,2022-07-13,0
RIO,56.9,2022-07-14,0
RIO,55.8,2022-07-15,0
RIO,54.0,2022-07-16,0
MBGYY,13.4,2022-07-12,0
MBGYY,13.0,2022-07-13,0
MBGYY,12.7,2022-07-14,0
MBGYY,12.4,2022-07-15,0
MBGYY,12.9,2022-07-16,0
IFNNY,22.9,2022-07-12,0
IFNNY,22.4,2022-07-13,0
IFNNY,22.1,2022-07-14,0
IFNNY,22.5,2022-07-15,0
IFNNY,23.0,2022-07-16,0
SPX,3860.0,2022-07-12,0
SPX,3830.0,2022-07-13,0
SPX,3750.0,2022-07-14,0
SPX,3740.0,2022-07-15,0
SPX,3790.0,2022-07-16,0
FXI,32.2,2022-07-12,0
FXI,31.7,2022-07-13,0
FXI,31.0,2022-07-14,0
FXI,31.2,2022-07-15,0
FXI,30.7,2022-07-16,0
