Stock,PredictedPrice,DateTime,Dataset
AMZN,125.5,2022-08-11,2
AMZN,150.2,2022-09-11,2
AMZN,140.8,2022-10-11,2
AMZN,120.5,2022-11-11,2
AMZN,105.3,2022-12-11,2
GM,35.5,2022-08-11,2
GM,42.2,2022-09-11,2
GM,44.8,2022-10-11,2
GM,34.5,2022-11-11,2
GM,43.8,2022-12-11,2
T,19.2,2022-08-11,2
T,17.5,2022-09-11,2
T,16.3,2022-10-11,2
T,13.9,2022-11-11,2
T,17.2,2022-12-11,2
BABA,105.8,2022-08-11,2
BABA,88.4,2022-09-11,2
BABA,86.5,2022-10-11,2
BABA,72.1,2022-11-11,2
BABA,68.3,2022-12-11,2
1211.HK,298.5,2022-08-11,2
1211.HK,265.3,2022-09-11,2
1211.HK,205.8,2022-10-11,2
1211.HK,175.4,2022-11-11,2
1211.HK,180.2,2022-12-11,2
0941.HK,50.2,2022-08-11,2
0941.HK,53.8,2022-09-11,2
0941.HK,53.2,2022-10-11,2
0941.HK,51.8,2022-11-11,2
0941.HK,50.8,2022-12-11,2
DTE.DE,18.9,2022-08-11,2
DTE.DE,18.5,2022-09-11,2
DTE.DE,19.8,2022-10-11,2
DTE.DE,17.2,2022-11-11,2
DTE.DE,19.0,2022-12-11,2
MBGYY,14.5,2022-08-11,2
MBGYY,16.2,2022-09-11,2
MBGYY,13.8,2022-10-11,2
MBGYY,12.2,2022-11-11,2
MBGYY,16.0,2022-12-11,2
IFNNY,25.8,2022-08-11,2
IFNNY,30.5,2022-09-11,2
IFNNY,27.2,2022-10-11,2
IFNNY,24.5,2022-11-11,2
IFNNY,31.5,2022-12-11,2
SPX,4050.5,2022-08-11,2
SPX,4380.8,2022-09-11,2
SPX,4200.5,2022-10-11,2
SPX,3750.8,2022-11-11,2
SPX,4100.5,2022-12-11,2
FXI,31.0,2022-08-11,2
FXI,28.2,2022-09-11,2
FXI,27.8,2022-10-11,2
FXI,24.0,2022-11-11,2
FXI,24.5,2022-12-11,2
