Stock,PredictedPrice,DateTime,Dataset
AMZN,120.5,2022-10-11,3
AMZN,108.2,2023-01-11,3
AMZN,98.5,2023-04-11,3
AMZN,105.6,2023-07-11,3
AMZN,135.8,2023-10-11,3
GM,34.2,2022-10-11,3
GM,33.5,2023-01-11,3
GM,39.8,2023-04-11,3
GM,37.5,2023-07-11,3
GM,42.3,2023-10-11,3
T,18.2,2022-10-11,3
T,13.5,2023-01-11,3
T,20.5,2023-04-11,3
T,20.8,2023-07-11,3
T,16.5,2023-10-11,3
BABA,98.5,2022-10-11,3
BABA,72.3,2023-01-11,3
BABA,120.5,2023-04-11,3
BABA,108.6,2023-07-11,3
BABA,96.8,2023-10-11,3
1211.HK,268.5,2022-10-11,3
1211.HK,175.8,2023-01-11,3
1211.HK,220.5,2023-04-11,3
1211.HK,245.8,2023-07-11,3
1211.HK,275.6,2023-10-11,3
0941.HK,52.3,2022-10-11,3
0941.HK,48.6,2023-01-11,3
0941.HK,56.8,2023-04-11,3
0941.HK,70.5,2023-07-11,3
0941.HK,68.3,2023-10-11,3
DTE.DE,18.5,2022-10-11,3
DTE.DE,16.8,2023-01-11,3
DTE.DE,21.5,2023-04-11,3
DTE.DE,24.6,2023-07-11,3
DTE.DE,20.8,2023-10-11,3
RIO,59.8,2022-10-11,3
RIO,54.5,2023-01-11,3
RIO,80.5,2023-04-11,3
RIO,72.5,2023-07-11,3
RIO,68.5,2023-10-11,3
MBGYY,14.5,2022-10-11,3
MBGYY,11.8,2023-01-11,3
MBGYY,19.5,2023-04-11,3
MBGYY,20.5,2023-07-11,3
MBGYY,21.5,2023-10-11,3
IFNNY,25.8,2022-10-11,3
IFNNY,22.5,2023-01-11,3
IFNNY,36.8,2023-04-11,3
IFNNY,42.5,2023-07-11,3
IFNNY,45.8,2023-10-11,3
SPX,4050.5,2022-10-11,3
SPX,3450.8,2023-01-11,3
SPX,4100.5,2023-04-11,3
SPX,4300.8,2023-07-11,3
SPX,4600.5,2023-10-11,3
FXI,29.5,2022-10-11,3
FXI,22.8,2023-01-11,3
FXI,33.5,2023-04-11,3
FXI,31.5,2023-07-11,3
FXI,29.8,2023-10-11,3
