Stock,PredictedPrice,DateTime,Dataset
AMZN,117.5,2022-07-18,1
AMZN,120.3,2022-07-25,1
AMZN,128.8,2022-08-01,1
AMZN,140.2,2022-08-08,1
AMZN,148.5,2022-08-15,1
GM,33.0,2022-07-18,1
GM,34.5,2022-07-25,1
GM,36.0,2022-08-01,1
GM,37.5,2022-08-08,1
GM,38.2,2022-08-15,1
T,20.5,2022-07-18,1
T,20.0,2022-07-25,1
T,18.0,2022-08-01,1
T,19.0,2022-08-08,1
T,18.5,2022-08-15,1
BABA,110.2,2022-07-18,1
BABA,102.0,2022-07-25,1
BABA,98.0,2022-08-01,1
BABA,87.0,2022-08-08,1
BABA,90.0,2022-08-15,1
1211.HK,305.0,2022-07-18,1
1211.HK,290.0,2022-07-25,1
1211.HK,278.0,2022-08-01,1
1211.HK,285.0,2022-08-08,1
1211.HK,288.0,2022-08-15,1
0941.HK,49.2,2022-07-18,1
0941.HK,49.5,2022-07-25,1
0941.HK,50.0,2022-08-01,1
0941.HK,49.8,2022-08-08,1
0941.HK,51.0,2022-08-15,1
DTE.DE,19.0,2022-07-18,1
DTE.DE,18.8,2022-07-25,1
DTE.DE,17.8,2022-08-01,1
DTE.DE,18.4,2022-08-08,1
DTE.DE,18.6,2022-08-15,1
MBGYY,13.5,2022-07-18,1
MBGYY,13.8,2022-07-25,1
MBGYY,14.5,2022-08-01,1
MBGYY,15.0,2022-08-08,1
MBGYY,15.8,2022-08-15,1
IFNNY,23.5,2022-07-18,1
IFNNY,24.2,2022-07-25,1
IFNNY,26.0,2022-08-01,1
IFNNY,27.8,2022-08-08,1
IFNNY,29.0,2022-08-15,1
SPX,3900.0,2022-07-18,1
SPX,3920.0,2022-07-25,1
SPX,4000.0,2022-08-01,1
SPX,4130.0,2022-08-08,1
SPX,4180.0,2022-08-15,1
FXI,32.0,2022-07-18,1
FXI,31.5,2022-07-25,1
FXI,31.0,2022-08-01,1
FXI,29.5,2022-08-08,1
FXI,29.8,2022-08-15,1
