Stock,PredictedPrice,DateTime,Dataset
AMZN,120.5,2020-07-11,4
AMZN,190.2,2021-07-11,4
AMZN,210.8,2022-07-11,4
AMZN,135.6,2023-07-11,4
AMZN,150.9,2024-07-11,4
GM,42.5,2020-07-11,4
GM,28.8,2021-07-11,4
GM,65.5,2022-07-11,4
GM,35.2,2023-07-11,4
GM,43.6,2024-07-11,4
T,28.2,2020-07-11,4
T,25.5,2021-07-11,4
T,24,2022-07-11,4
T,22.8,2023-07-11,4
T,17.5,2024-07-11,4
BABA,195.5,2020-07-11,4
BABA,280.5,2021-07-11,4
BABA,220.8,2022-07-11,4
BABA,125.6,2023-07-11,4
BABA,98.5,2024-07-11,4
1211.HK,58.5,2020-07-11,4
1211.HK,85.5,2021-07-11,4
1211.HK,245.8,2022-07-11,4
1211.HK,345.6,2023-07-11,4
1211.HK,280.5,2024-07-11,4
0941.HK,80.5,2020-07-11,4
0941.HK,65.5,2021-07-11,4
0941.HK,52.8,2022-07-11,4
0941.HK,55.6,2023-07-11,4
0941.HK,70.5,2024-07-11,4
DTE.DE,17.5,2020-07-11,4
DTE.DE,16.5,2021-07-11,4
DTE.DE,20.8,2022-07-11,4
DTE.DE,22.6,2023-07-11,4
DTE.DE,24.5,2024-07-11,4
RIO,68.5,2020-07-11,4
RIO,65.5,2021-07-11,4
RIO,63.8,2022-07-11,4
RIO,64.6,2023-07-11,4
RIO,72.5,2024-07-11,4
MBGYY,15.5,2020-07-11,4
MBGYY,12.5,2021-07-11,4
MBGYY,26.8,2022-07-11,4
MBGYY,15.6,2023-07-11,4
MBGYY,22.5,2024-07-11,4
IFNNY,20.5,2020-07-11,4
IFNNY,28.5,2021-07-11,4
IFNNY,43.8,2022-07-11,4
IFNNY,26.6,2023-07-11,4
IFNNY,45.5,2024-07-11,4
SPX,3200.5,2020-07-11,4
SPX,3400.8,2021-07-11,4
SPX,4500.5,2022-07-11,4
SPX,4000.6,2023-07-11,4
SPX,4600.5,2024-07-11,4
FXI,48.5,2020-07-11,4
FXI,52.5,2021-07-11,4
FXI,49.8,2022-07-11,4
FXI,36.6,2023-07-11,4
FXI,30.5,2024-07-11,4
