Stock,PredictedPrice,DateTime,Dataset
AMZN,114.08,2022-07-12,0
AMZN,112.16,2022-07-13,0
AMZN,107.03,2022-07-14,0
AMZN,110.24,2022-07-15,0
AMZN,112.5,2022-07-16,0
GM,31.91,2022-07-12,0
GM,30.92,2022-07-13,0
GM,30.85,2022-07-14,0
GM,31.15,2022-07-15,0
GM,32.25,2022-07-16,0
T,20.71,2022-07-12,0
T,20.63,2022-07-13,0
T,20.45,2022-07-14,0
T,20.13,2022-07-15,0
T,20.54,2022-07-16,0
BABA,115.46,2022-07-12,0
BABA,110.86,2022-07-13,0
BABA,106.84,2022-07-14,0
BABA,107.8,2022-07-15,0
BABA,103.49,2022-07-16,0
1211.HK,316.6,2022-07-12,0
1211.HK,290.8,2022-07-13,0
1211.HK,274.0,2022-07-14,0
1211.HK,270.0,2022-07-15,0
1211.HK,296.0,2022-07-16,0
0941.HK,48.9,2022-07-12,0
0941.HK,49.15,2022-07-13,0
0941.HK,49.75,2022-07-14,0
0941.HK,49.8,2022-07-15,0
0941.HK,49.2,2022-07-16,0
DTE.DE,19.21,2022-07-12,0
DTE.DE,19.22,2022-07-13,0
DTE.DE,19.29,2022-07-14,0
DTE.DE,19.1,2022-07-15,0
DTE.DE,18.9,2022-07-16,0
RIO,57.7,2022-07-12,0
RIO,57.26,2022-07-13,0
RIO,57.14,2022-07-14,0
RIO,55.07,2022-07-15,0
RIO,54.26,2022-07-16,0
MBGYY,13.74,2022-07-12,0
MBGYY,13.19,2022-07-13,0
MBGYY,12.92,2022-07-14,0
MBGYY,12.66,2022-07-15,0
MBGYY,13.07,2022-07-16,0
IFNNY,23.19,2022-07-12,0
IFNNY,22.68,2022-07-13,0
IFNNY,22.3,2022-07-14,0
IFNNY,22.69,2022-07-15,0
IFNNY,23.13,2022-07-16,0
SPX,3880.94,2022-07-12,0
SPX,3851.95,2022-07-13,0
SPX,3779.67,2022-07-14,0
SPX,3763.99,2022-07-15,0
SPX,3818.0,2022-07-16,0
FXI,32.49,2022-07-12,0
FXI,32.05,2022-07-13,0
FXI,31.36,2022-07-14,0
FXI,31.49,2022-07-15,0
FXI,30.96,2022-07-16,0
