Stock,PredictedPrice,DateTime,Dataset
AMZN,114.08,2022-08-11,2
AMZN,143.86,2022-09-11,2
AMZN,133.69,2022-10-11,2
AMZN,112.71,2022-11-11,2
AMZN,97.88,2022-12-11,2
GM,31.91,2022-08-11,2
GM,38.69,2022-09-11,2
GM,41.54,2022-10-11,2
GM,32.01,2022-11-11,2
GM,41.58,2022-12-11,2
T,20.71,2022-08-11,2
T,18.06,2022-09-11,2
T,17.07,2022-10-11,2
T,14.85,2022-11-11,2
T,18.82,2022-12-11,2
BABA,115.46,2022-08-11,2
BABA,94.49,2022-09-11,2
BABA,92.9,2022-10-11,2
BABA,77.38,2022-11-11,2
BABA,72.7,2022-12-11,2
1211.HK,316.6,2022-08-11,2
1211.HK,284.4,2022-09-11,2
1211.HK,222.4,2022-10-11,2
1211.HK,188.2,2022-11-11,2
1211.HK,193.0,2022-12-11,2
0941.HK,48.9,2022-08-11,2
0941.HK,51.9,2022-09-11,2
0941.HK,51.55,2022-10-11,2
0941.HK,50.4,2022-11-11,2
0941.HK,49.5,2022-12-11,2
DTE.DE,19.21,2022-08-11,2
DTE.DE,19.0,2022-09-11,2
DTE.DE,19.61,2022-10-11,2
DTE.DE,17.64,2022-11-11,2
DTE.DE,19.47,2022-12-11,2
RIO,57.7,2022-08-11,2
RIO,59.96,2022-09-11,2
RIO,58.09,2022-10-11,2
RIO,56.56,2022-11-11,2
RIO,64.44,2022-12-11,2
MBGYY,13.74,2022-08-11,2
MBGYY,15.74,2022-09-11,2
MBGYY,14.18,2022-10-11,2
MBGYY,12.71,2022-11-11,2
MBGYY,16.55,2022-12-11,2
IFNNY,23.19,2022-08-11,2
IFNNY,28.2,2022-09-11,2
IFNNY,25.6,2022-10-11,2
IFNNY,23.05,2022-11-11,2
IFNNY,30.22,2022-12-11,2
SPX,3880.94,2022-08-11,2
SPX,4227.4,2022-09-11,2
SPX,4076.81,2022-10-11,2
SPX,3595.86,2022-11-11,2
SPX,3963.72,2022-12-11,2
FXI,32.49,2022-08-11,2
FXI,29.99,2022-09-11,2
FXI,29.52,2022-10-11,2
FXI,25.07,2022-11-11,2
FXI,25.3,2022-12-11,2
