Stock,PredictedPrice,DateTime,Dataset
AMZN,114.08,2022-10-11,3
AMZN,112.71,2023-01-11,3
AMZN,90.93,2023-04-11,3
AMZN,100.8,2023-07-11,3
AMZN,127.75,2023-10-11,3
GM,31.91,2022-10-11,3
GM,32.01,2023-01-11,3
GM,37.35,2023-04-11,3
GM,35.88,2023-07-11,3
GM,39.57,2023-10-11,3
T,20.71,2022-10-11,3
T,14.85,2023-01-11,3
T,19.24,2023-04-11,3
T,19.59,2023-07-11,3
T,15.29,2023-10-11,3
BABA,115.46,2022-10-11,3
BABA,77.38,2023-01-11,3
BABA,114.6,2023-04-11,3
BABA,102.46,2023-07-11,3
BABA,91.02,2023-10-11,3
1211.HK,316.6,2022-10-11,3
1211.HK,188.2,2023-01-11,3
1211.HK,208.2,2023-04-11,3
1211.HK,227.8,2023-07-11,3
1211.HK,258.6,2023-10-11,3
0941.HK,48.9,2022-10-11,3
0941.HK,50.4,2023-01-11,3
0941.HK,53.45,2023-04-11,3
0941.HK,66.0,2023-07-11,3
0941.HK,62.5,2023-10-11,3
DTE.DE,19.21,2022-10-11,3
DTE.DE,17.64,2023-01-11,3
DTE.DE,19.92,2023-04-11,3
DTE.DE,22.62,2023-07-11,3
DTE.DE,19.41,2023-10-11,3
RIO,57.7,2022-10-11,3
RIO,56.56,2023-01-11,3
RIO,76.28,2023-04-11,3
RIO,69.07,2023-07-11,3
RIO,64.09,2023-10-11,3
MBGYY,13.74,2022-10-11,3
MBGYY,12.71,2023-01-11,3
MBGYY,18.33,2023-04-11,3
MBGYY,18.68,2023-07-11,3
MBGYY,19.77,2023-10-11,3
IFNNY,23.19,2022-10-11,3
IFNNY,23.05,2023-01-11,3
IFNNY,33.62,2023-04-11,3
IFNNY,38.93,2023-07-11,3
IFNNY,40.5,2023-10-11,3
SPX,3880.94,2022-10-11,3
SPX,3595.86,2023-01-11,3
SPX,3932.35,2023-04-11,3
SPX,4110.29,2023-07-11,3
SPX,4415.55,2023-10-11,3
FXI,32.49,2022-10-11,3
FXI,25.07,2023-01-11,3
FXI,31.69,2023-04-11,3
FXI,29.46,2023-07-11,3
FXI,27.18,2023-10-11,3
