Stock,PredictedPrice,DateTime,Dataset
AMZN,114.08,2022-07-18,1
AMZN,115.0,2022-07-25,1
AMZN,122.7,2022-08-01,1
AMZN,134.96,2022-08-08,1
AMZN,142.05,2022-08-15,1
GM,31.91,2022-07-18,1
GM,33.3,2022-07-25,1
GM,34.86,2022-08-01,1
GM,36.06,2022-08-08,1
GM,36.62,2022-08-15,1
T,20.71,2022-07-18,1
T,20.63,2022-07-25,1
T,18.38,2022-08-01,1
T,18.85,2022-08-08,1
T,18.36,2022-08-15,1
BABA,115.46,2022-07-18,1
BABA,105.88,2022-07-25,1
BABA,100.5,2022-08-01,1
BABA,89.19,2022-08-08,1
BABA,91.47,2022-08-15,1
1211.HK,316.6,2022-07-18,1
1211.HK,298.0,2022-07-25,1
1211.HK,281.6,2022-08-01,1
1211.HK,288.0,2022-08-08,1
1211.HK,290.6,2022-08-15,1
0941.HK,48.9,2022-07-18,1
0941.HK,48.95,2022-07-25,1
0941.HK,49.7,2022-08-01,1
0941.HK,49.4,2022-08-08,1
0941.HK,50.6,2022-08-15,1
DTE.DE,19.21,2022-07-18,1
DTE.DE,19.1,2022-07-25,1
DTE.DE,18.08,2022-08-01,1
DTE.DE,18.61,2022-08-08,1
DTE.DE,18.9,2022-08-15,1
RIO,57.7,2022-07-18,1
RIO,57.25,2022-07-25,1
RIO,59.65,2022-08-01,1
RIO,60.8,2022-08-08,1
RIO,61.4,2022-08-15,1
MBGYY,13.74,2022-07-18,1
MBGYY,13.63,2022-07-25,1
MBGYY,14.22,2022-08-01,1
MBGYY,14.71,2022-08-08,1
MBGYY,15.31,2022-08-15,1
IFNNY,23.19,2022-07-18,1
IFNNY,23.87,2022-07-25,1
IFNNY,25.54,2022-08-01,1
IFNNY,27.19,2022-08-08,1
IFNNY,28.32,2022-08-15,1
SPX,3880.94,2022-07-18,1
SPX,3883.79,2022-07-25,1
SPX,3965.72,2022-08-01,1
SPX,4112.38,2022-08-08,1
SPX,4155.93,2022-08-15,1
FXI,32.49,2022-07-18,1
FXI,31.86,2022-07-25,1
FXI,31.48,2022-08-01,1
FXI,29.95,2022-08-08,1
FXI,29.99,2022-08-15,1
