Stock,PredictedPrice,DateTime,Dataset
AMZN,115.50,2022-08-11,1
AMZN,140.00,2022-09-11,1
AMZN,130.00,2022-10-11,1
AMZN,110.00,2022-11-11,1
AMZN,95.00,2022-12-11,1
GM,32.50,2022-08-11,1
GM,39.20,2022-09-11,1
GM,42.00,2022-10-11,1
GM,33.50,2022-11-11,1
GM,42.00,2022-12-11,1
T,21.00,2022-08-11,1
T,19.00,2022-09-11,1
T,18.00,2022-10-11,1
T,15.50,2022-11-11,1
T,19.50,2022-12-11,1
BABA,118.00,2022-08-11,1
BABA,95.00,2022-09-11,1
BABA,93.00,2022-10-11,1
BABA,78.00,2022-11-11,1
BABA,73.00,2022-12-11,1
1211.HK,318.00,2022-08-11,1
1211.HK,285.00,2022-09-11,1
1211.HK,223.00,2022-10-11,1
1211.HK,190.00,2022-11-11,1
1211.HK,193.00,2022-12-11,1
0941.HK,50.1,2022-08-11,2
0941.HK,51.0,2022-09-11,3
0941.HK,50.3,2022-10-11,4
0941.HK,49.9,2022-11-11,5
0941.HK,50.0,2022-12-11,6
DTE.DE,19.5,2022-08-11,8
DTE.DE,19.6,2022-09-11,9
DTE.DE,19.3,2022-10-11,10
DTE.DE,18.9,2022-11-11,11
DTE.DE,19.0,2022-12-11,12
RIO,58.0,2022-08-11,14
RIO,59.0,2022-09-11,15
RIO,58.3,2022-10-11,16
RIO,57.5,2022-11-11,17
RIO,58.0,2022-12-11,18
MBGYY,14.0,2022-08-11,20
MBGYY,14.3,2022-09-11,21
MBGYY,14.2,2022-10-11,22
MBGYY,13.5,2022-11-11,23
MBGYY,13.9,2022-12-11,24
IFNNY,23.5,2022-08-11,26
IFNNY,24.0,2022-09-11,27
IFNNY,24.2,2022-10-11,28
IFNNY,23.5,2022-11-11,29
IFNNY,23.7,2022-12-11,30
SPX,3965.0,2022-08-11,32
SPX,4095.0,2022-09-11,33
SPX,4050.0,2022-10-11,34
SPX,3800.0,2022-11-11,35
SPX,3900.0,2022-12-11,36
FXI,31.0,2022-08-11,38
FXI,30.5,2022-09-11,39
FXI,29.8,2022-10-11,40
FXI,28.5,2022-11-11,41
FXI,29.0,2022-12-11,42
