Stock,PredictedPrice,DateTime,Dataset
AMZN,120.37,2022-10-11,3
AMZN,109.85,2023-01-11,3
AMZN,95.62,2023-04-11,3
AMZN,128.14,2023-07-11,3
AMZN,129.23,2023-10-11,3
GM,34.05,2022-10-11,3
GM,36.18,2023-01-11,3
GM,36.45,2023-04-11,3
GM,38.92,2023-07-11,3
GM,37.76,2023-10-11,3
T,18.32,2022-10-11,3
T,17.25,2023-01-11,3
T,19.68,2023-04-11,3
T,18.45,2023-07-11,3
T,15.97,2023-10-11,3
BABA,88.34,2022-10-11,3
BABA,102.17,2023-01-11,3
BABA,105.24,2023-04-11,3
BABA,94.37,2023-07-11,3
BABA,89.06,2023-10-11,3
1211.HK,208.59,2022-10-11,3
1211.HK,203.62,2023-01-11,3
1211.HK,213.8,2023-04-11,1
1211.HK,238.2,2023-07-11,2
1211.HK,264.7,2023-10-11,3
0941.HK,51.2,2022-10-11,4
0941.HK,52.7,2023-01-11,5
0941.HK,57.3,2023-04-11,6
0941.HK,70.0,2023-07-11,7
0941.HK,65.5,2023-10-11,8
DTE.DE,19.52,2022-10-11,9
DTE.DE,17.88,2023-01-11,10
DTE.DE,19.60,2023-04-11,11
DTE.DE,21.22,2023-07-11,12
DTE.DE,19.80,2023-10-11,13
RIO,58.4,2022-10-11,14
RIO,56.5,2023-01-11,15
RIO,78.1,2023-04-11,16
RIO,72.6,2023-07-11,17
RIO,65.0,2023-10-11,18
MBGYY,13.96,2022-10-11,19
MBGYY,12.96,2023-01-11,20
MBGYY,19.00,2023-04-11,21
MBGYY,18.98,2023-07-11,22
MBGYY,20.10,2023-10-11,23
IFNNY,23.40,2022-10-11,24
IFNNY,23.25,2023-01-11,25
IFNNY,34.10,2023-04-11,26
IFNNY,39.30,2023-07-11,27
IFNNY,41.20,2023-10-11,28
SPX,3912.0,2022-10-11,29
SPX,3625.5,2023-01-11,30
SPX,3952.0,2023-04-11,31
SPX,4115.5,2023-07-11,32
SPX,4445.0,2023-10-11,33
FXI,32.7,2022-10-11,34
FXI,25.2,2023-01-11,35
FXI,32.0,2023-04-11,36
FXI,30.3,2023-07-11,37
FXI,28.5,2023-10-11,38
