Stock,PredictedPrice,DateTime,Dataset
AMZN,101.28,2020-07-11,1
AMZN,160.75,2021-07-11,2
AMZN,187.4,2022-07-11,3
AMZN,114.08,2023-07-11,4
AMZN,127.75,2024-07-11,5
GM,38.28,2020-07-11,1
GM,24.4,2021-07-11,2
GM,58.92,2022-07-11,3
GM,31.91,2023-07-11,4
GM,39.57,2024-07-11,5
T,25.67,2020-07-11,1
T,22.57,2021-07-11,2
T,21.56,2022-07-11,3
T,20.71,2023-07-11,4
T,15.29,2024-07-11,5
BABA,167.56,2020-07-11,1
BABA,261.9,2021-07-11,2
BABA,207.27,2022-07-11,3
BABA,115.46,2023-07-11,4
BABA,91.02,2024-07-11,5
1211.HK,48.0,2020-07-11,1
1211.HK,75.8,2021-07-11,2
1211.HK,223.6,2022-07-11,3
1211.HK,316.6,2023-07-11,4
1211.HK,258.6,2024-07-11,5
0941.HK,70.35,2020-07-11,4
0941.HK,55.4,2021-07-11,4
0941.HK,46.2,2022-07-11,4
0941.HK,49.8,2023-07-11,4
0941.HK,63.0,2024-07-11,4
DTE.DE,15.41,2020-07-11,4
DTE.DE,14.92,2021-07-11,4
DTE.DE,18.01,2022-07-11,4
DTE.DE,19.21,2023-07-11,4
DTE.DE,19.41,2024-07-11,4
RIO,60.83,2020-07-11,4
RIO,59.05,2021-07-11,4
RIO,57.7,2022-07-11,4
RIO,57.7,2023-07-11,4
RIO,64.09,2024-07-11,4
MBGYY,13.12,2020-07-11,4
MBGYY,10.18,2021-07-11,4
MBGYY,23.97,2022-07-11,4
MBGYY,13.74,2023-07-11,4
MBGYY,19.77,2024-07-11,4
IFNNY,17.99,2020-07-11,4
IFNNY,25.81,2021-07-11,4
IFNNY,39.39,2022-07-11,4
IFNNY,23.19,2023-07-11,4
IFNNY,40.5,2024-07-11,4
SPX,2999.62,2020-07-11,4
SPX,3186.82,2021-07-11,4
SPX,4371.6,2022-07-11,4
SPX,3880.94,2023-07-11,4
SPX,4415.55,2024-07-11,4
FXI,42.16,2020-07-11,4
FXI,45.8,2021-07-11,4
FXI,44.25,2022-07-11,4
FXI,32.49,2023-07-11,4
FXI,27.18,2024-07-11,4
