Stock,PredictedPrice,DateTime,Dataset
AMZN,96.01807331820237,2022-10-11,3
AMZN,-248.2039168610063,2023-01-11,3
AMZN,-1161.3758417292356,2023-04-11,3
AMZN,-1125.374285258631,2023-07-11,3
AMZN,-1274.0240515827336,2023-10-11,3
GM,43.25809135970849,2022-10-11,3
GM,-300.02003641863666,2023-01-11,3
GM,-1195.778663115827,2023-04-11,3
GM,-1167.058330880458,2023-07-11,3
GM,-1330.642953969249,2023-10-11,3
T,36.06675878169699,2022-10-11,3
T,-311.0381852613755,2023-01-11,3
T,-1207.406791061163,2023-04-11,3
T,-1177.5178672818674,2023-07-11,3
T,-1346.2327356651513,2023-10-11,3
BABA,143.84906888080695,2022-10-11,3
BABA,300.7731725311205,2023-01-11,3
BABA,-641.2184948572904,2023-04-11,3
BABA,-190.55175598636197,2023-07-11,3
BABA,-113.4865168924789,2023-10-11,3
1211.HK,272.9976969826894,2022-10-11,3
1211.HK,371.9288400574733,2023-01-11,3
1211.HK,-581.1195011696291,2023-04-11,3
1211.HK,-110.07303943923034,2023-07-11,3
1211.HK,-5.886203193993424,2023-10-11,3
0941.HK,101.1120067029151,2022-10-11,4
0941.HK,283.4497660173056,2023-01-11,4
0941.HK,-680.4818865666966,2023-04-11,4
0941.HK,-213.9621118608502,2023-07-11,4
0941.HK,-131.7987316357703,2023-10-11,4
DTE.DE,1571.519159308773,2022-10-11,4
DTE.DE,1161.3234852709083,2023-01-11,4
DTE.DE,210.92844885478917,2023-04-11,4
DTE.DE,-189.65601749451162,2023-07-11,4
DTE.DE,-455.1689248343537,2023-10-11,4
RIO,1596.2329442130267,2022-10-11,4
RIO,1186.3133659794967,2023-01-11,4
RIO,247.11626172056458,2023-04-11,4
RIO,-159.83124979374406,2023-07-11,4
RIO,-426.4806445142185,2023-10-11,4
MBGYY,1568.0069638443347,2022-10-11,4
MBGYY,1158.1580147700515,2023-01-11,4
MBGYY,209.90753646201847,2023-04-11,4
MBGYY,-192.1858255621337,2023-07-11,4
MBGYY,-454.9377748586321,2023-10-11,4
IFNNY,1574.0746507070307,2022-10-11,4
IFNNY,1164.797155739394,2023-01-11,4
IFNNY,219.72498959753466,2023-04-11,4
IFNNY,-179.18363942778342,2023-07-11,4
IFNNY,-441.6273887566531,2023-10-11,4
SPX,2514.6558442829864,2022-10-11,4
SPX,1988.2684107370424,2023-01-11,4
SPX,1305.1356575405925,2023-04-11,4
SPX,1449.0521485099698,2023-07-11,4
SPX,1479.1005759167765,2023-10-11,4
FXI,90.57542030959848,2022-10-11,4
FXI,267.1857968922159,2023-01-11,4
FXI,-694.4536184325461,2023-04-11,4
FXI,-237.4238343966099,2023-07-11,4
FXI,-154.47711258714116,2023-10-11,4
