Stock,PredictedPrice,DateTime
AMZN,101.77438316777595,2019-07-11
AMZN,164.20916906443665,2020-07-13
AMZN,189.3257856675826,2021-07-11
AMZN,114.5920273516286,2022-07-11
AMZN,126.77469006155451,2023-07-11
GM,38.83848266481916,2019-07-11
GM,24.247712795480968,2020-07-13
GM,61.22832652060802,2021-07-11
GM,33.38954786875878,2022-07-11
GM,39.1087780899936,2023-07-11
T,26.4188581727582,2019-07-11
T,22.635215833882306,2020-07-13
T,21.706704073718516,2021-07-11
T,21.5914106379041,2022-07-11
T,14.634114132984568,2023-07-11
BABA,160.64193854579904,2019-07-11
BABA,249.3345198289621,2020-07-13
BABA,214.16421153867213,2021-07-11
BABA,118.67159784646695,2022-07-11
BABA,94.38785057334255,2023-07-11
1211.HK,50.29736804271727,2019-07-11
1211.HK,78.06762191676276,2020-07-13
1211.HK,222.73867853997555,2021-07-11
1211.HK,325.4815537212292,2022-07-11
1211.HK,248.72857665297065,2023-07-11
0941.HK,71.33434438503913,2019-07-11
0941.HK,54.38851254098702,2020-07-13
0941.HK,49.194390599303546,2021-07-11
0941.HK,49.006838293357845,2022-07-11
0941.HK,61.966637124940775,2023-07-11
DTE.DE,15.047180198253232,2019-07-11
DTE.DE,15.32915666463585,2020-07-13
DTE.DE,17.931026748322008,2021-07-11
DTE.DE,19.341461615776677,2022-07-11
DTE.DE,18.475971002646965,2023-07-11
RIO,61.545576728712554,2019-07-11
RIO,59.71192524267589,2020-07-13
RIO,58.37470916196735,2021-07-11
RIO,60.26042641302939,2022-07-11
RIO,65.25528629695422,2023-07-11
MBGYY,12.935674365552806,2019-07-11
MBGYY,10.11589852896773,2020-07-13
MBGYY,24.443721976637654,2021-07-11
MBGYY,13.135749798018617,2022-07-11
MBGYY,20.099697796436086,2023-07-11
IFNNY,18.29697752744307,2019-07-11
IFNNY,25.06249739013158,2020-07-13
IFNNY,37.92834068646247,2021-07-11
IFNNY,22.76197834579318,2022-07-11
IFNNY,39.94802862231762,2023-07-11
SPX,3020.676363648088,2019-07-11
SPX,3167.2534075131994,2020-07-13
SPX,4585.097507045972,2021-07-11
SPX,3726.4959787824455,2022-07-11
SPX,4287.003076037455,2023-07-11
FXI,40.73208092740314,2019-07-11
FXI,46.501236130631526,2020-07-13
FXI,43.158315341238534,2021-07-11
FXI,32.38054370101014,2022-07-11
FXI,26.485348759060358,2023-07-11
