Stock,PredictedPrice,DateTime,Dataset
AMZN,115.24,2022-07-12,0
AMZN,113.32,2022-07-13,0
AMZN,108.19,2022-07-14,0
AMZN,111.39,2022-07-15,0
AMZN,113.65,2022-07-16,0
GM,32.46,2022-07-12,0
GM,31.47,2022-07-13,0
GM,31.41,2022-07-14,0
GM,31.70,2022-07-15,0
GM,32.80,2022-07-16,0
T,20.86,2022-07-12,0
T,20.78,2022-07-13,0
T,20.60,2022-07-14,0
T,20.28,2022-07-15,0
T,20.69,2022-07-16,0
BABA,116.61,2022-07-12,0
BABA,111.92,2022-07-13,0
BABA,107.90,2022-07-14,0
BABA,108.86,2022-07-15,0
BABA,104.55,2022-07-16,0
1211.HK,317.85,2022-07-12,0
1211.HK,292.05,2022-07-13,0
1211.HK,275.25,2022-07-14,0
1211.HK,271.25,2022-07-15,0
1211.HK,297.25,2022-07-16,0
0941.HK,49.05,2022-07-12,0
0941.HK,49.30,2022-07-13,0
0941.HK,49.90,2022-07-14,0
0941.HK,49.95,2022-07-15,0
0941.HK,49.35,2022-07-16,0
DTE.DE,19.36,2022-07-12,0
DTE.DE,19.37,2022-07-13,0
DTE.DE,19.44,2022-07-14,0
DTE.DE,19.25,2022-07-15,0
DTE.DE,19.05,2022-07-16,0
RIO,57.85,2022-07-12,0
RIO,57.41,2022-07-13,0
RIO,57.29,2022-07-14,0
RIO,55.22,2022-07-15,0
RIO,54.41,2022-07-16,0
MBGYY,13.89,2022-07-12,0
MBGYY,13.34,2022-07-13,0
MBGYY,13.07,2022-07-14,0
MBGYY,12.81,2022-07-15,0
MBGYY,13.22,2022-07-16,0
IFNNY,23.34,2022-07-12,0
IFNNY,22.83,2022-07-13,0
IFNNY,22.45,2022-07-14,0
IFNNY,22.84,2022-07-15,0
IFNNY,23.28,2022-07-16,0
SPX,3896.09,2022-07-12,0
SPX,3867.10,2022-07-13,0
SPX,3794.82,2022-07-14,0
SPX,3779.14,2022-07-15,0
SPX,3833.15,2022-07-16,0
FXI,32.64,2022-07-12,0
FXI,32.20,2022-07-13,0
FXI,31.51,2022-07-14,0
FXI,31.64,2022-07-15,0
FXI,31.11,2022-07-16,0
