Stock,PredictedPrice,DateTime,Dataset
AMZN,117.25,2022-08-11,2
AMZN,146.69,2022-09-09,2
AMZN,136.32,2022-10-11,2
AMZN,115.23,2022-11-11,2
AMZN,100.12,2022-12-09,2
GM,32.98,2022-08-11,2
GM,39.54,2022-09-09,2
GM,42.31,2022-10-11,2
GM,32.78,2022-11-11,2
GM,42.45,2022-12-09,2
T,21.23,2022-08-11,2
T,18.51,2022-09-09,2
T,17.49,2022-10-11,2
T,15.31,2022-11-11,2
T,19.28,2022-12-09,2
BABA,118.32,2022-08-11,2
BABA,96.34,2022-09-09,2
BABA,94.76,2022-10-11,2
BABA,79.12,2022-11-11,2
BABA,74.36,2022-12-09,2
1211.HK,325.34,2022-08-11,2
1211.HK,290.12,2022-09-09,2
1211.HK,228.45,2022-10-11,2
1211.HK,193.12,2022-11-11,2
1211.HK,198.34,2022-12-09,2
0941.HK,49.89,2022-08-11,2
0941.HK,52.87,2022-09-09,2
0941.HK,52.34,2022-10-11,2
0941.HK,51.23,2022-11-11,2
0941.HK,50.12,2022-12-09,2
DTE.DE,19.56,2022-08-11,2
DTE.DE,19.43,2022-09-09,2
DTE.DE,20.12,2022-10-11,2
DTE.DE,18.23,2022-11-11,2
DTE.DE,19.98,2022-12-09,2
RIO,58.98,2022-08-11,2
RIO,61.23,2022-09-09,2
RIO,59.34,2022-10-11,2
RIO,57.89,2022-11-11,2
RIO,65.87,2022-12-09,2
MBGYY,14.23,2022-08-11,2
MBGYY,16.23,2022-09-09,2
MBGYY,14.76,2022-10-11,2
MBGYY,13.21,2022-11-11,2
MBGYY,17.12,2022-12-09,2
IFNNY,24.12,2022-08-11,2
IFNNY,29.12,2022-09-09,2
IFNNY,26.45,2022-10-11,2
IFNNY,24.12,2022-11-11,2
IFNNY,31.23,2022-12-09,2
SPX,3950.23,2022-08-11,2
SPX,4300.12,2022-09-09,2
SPX,4150.34,2022-10-11,2
SPX,3650.89,2022-11-11,2
SPX,4020.45,2022-12-09,2
FXI,33.23,2022-08-11,2
FXI,30.76,2022-09-09,2
FXI,30.23,2022-10-11,2
FXI,25.89,2022-11-11,2
FXI,26.12,2022-12-09,2
