Stock,PredictedPrice,DateTime,Dataset
AMZN,136.32,2022-10-11,3
AMZN,97.88,2023-01-11,3
AMZN,127.75,2023-04-11,3
AMZN,100.8,2023-07-11,3
AMZN,127.75,2023-10-11,3
GM,42.31,2022-10-11,3
GM,39.57,2023-01-11,3
GM,37.35,2023-04-11,3
GM,35.88,2023-07-11,3
GM,39.57,2023-10-11,3
T,17.49,2022-10-11,3
T,15.29,2023-01-11,3
T,19.24,2023-04-11,3
T,19.59,2023-07-11,3
T,15.29,2023-10-11,3
BABA,94.76,2022-10-11,3
BABA,74.36,2023-01-11,3
BABA,91.02,2023-04-11,3
BABA,102.46,2023-07-11,3
BABA,91.02,2023-10-11,3
1211.HK,228.45,2022-10-11,3
1211.HK,198.34,2023-01-11,3
1211.HK,258.6,2023-04-11,3
1211.HK,227.8,2023-07-11,3
1211.HK,258.6,2023-10-11,3
0941.HK,52.34,2022-10-11,3
0941.HK,50.12,2023-01-11,3
0941.HK,62.5,2023-04-11,3
0941.HK,66.0,2023-07-11,3
0941.HK,62.5,2023-10-11,3
DTE.DE,20.12,2022-10-11,3
DTE.DE,19.98,2023-01-11,3
DTE.DE,19.41,2023-04-11,3
DTE.DE,22.62,2023-07-11,3
DTE.DE,19.41,2023-10-11,3
RIO,59.34,2022-10-11,3
RIO,65.87,2023-01-11,3
RIO,64.09,2023-04-11,3
RIO,69.07,2023-07-11,3
RIO,64.09,2023-10-11,3
MBGYY,14.76,2022-10-11,3
MBGYY,17.12,2023-01-11,3
MBGYY,19.77,2023-04-11,3
MBGYY,18.68,2023-07-11,3
MBGYY,19.77,2023-10-11,3
IFNNY,26.45,2022-10-11,3
IFNNY,31.23,2023-01-11,3
IFNNY,40.5,2023-04-11,3
IFNNY,38.93,2023-07-11,3
IFNNY,40.5,2023-10-11,3
SPX,4150.34,2022-10-11,3
SPX,4020.45,2023-01-11,3
SPX,4415.55,2023-04-11,3
SPX,4110.29,2023-07-11,3
SPX,4415.55,2023-10-11,3
FXI,30.23,2022-10-11,3
FXI,26.12,2023-01-11,3
FXI,27.18,2023-04-11,3
FXI,29.46,2023-07-11,3
FXI,27.18,2023-10-11,3
