Stock,PredictedPrice,DateTime,Dataset
AMZN,115.24,2022-07-18,1
AMZN,116.32,2022-07-25,1
AMZN,123.91,2022-08-01,1
AMZN,136.78,2022-08-08,1
AMZN,143.95,2022-08-15,1
GM,32.46,2022-07-18,1
GM,33.78,2022-07-25,1
GM,35.32,2022-08-01,1
GM,36.48,2022-08-08,1
GM,37.12,2022-08-15,1
T,20.86,2022-07-18,1
T,20.78,2022-07-25,1
T,18.54,2022-08-01,1
T,19.12,2022-08-08,1
T,18.56,2022-08-15,1
BABA,116.61,2022-07-18,1
BABA,106.87,2022-07-25,1
BABA,101.51,2022-08-01,1
BABA,90.12,2022-08-08,1
BABA,92.43,2022-08-15,1
1211.HK,317.85,2022-07-18,1
1211.HK,299.15,2022-07-25,1
1211.HK,282.85,2022-08-01,1
1211.HK,289.25,2022-08-08,1
1211.HK,291.85,2022-08-15,1
0941.HK,49.05,2022-07-18,1
0941.HK,49.30,2022-07-25,1
0941.HK,49.90,2022-08-01,1
0941.HK,49.95,2022-08-08,1
0941.HK,49.35,2022-08-15,1
DTE.DE,19.36,2022-07-18,1
DTE.DE,19.37,2022-07-25,1
DTE.DE,18.34,2022-08-01,1
DTE.DE,18.86,2022-08-08,1
DTE.DE,19.25,2022-08-15,1
RIO,57.85,2022-07-18,1
RIO,57.41,2022-07-25,1
RIO,59.85,2022-08-01,1
RIO,61.01,2022-08-08,1
RIO,61.61,2022-08-15,1
MBGYY,13.89,2022-07-18,1
MBGYY,13.34,2022-07-25,1
MBGYY,14.42,2022-08-01,1
MBGYY,14.91,2022-08-08,1
MBGYY,15.51,2022-08-15,1
IFNNY,23.34,2022-07-18,1
IFNNY,23.83,2022-07-25,1
IFNNY,25.45,2022-08-01,1
IFNNY,27.84,2022-08-08,1
IFNNY,28.28,2022-08-15,1
SPX,3896.09,2022-07-18,1
SPX,3867.10,2022-07-25,1
SPX,3794.82,2022-08-01,1
SPX,3779.14,2022-08-08,1
SPX,3833.15,2022-08-15,1
FXI,32.64,2022-07-18,1
FXI,32.20,2022-07-25,1
FXI,31.51,2022-08-01,1
FXI,31.64,2022-08-08,1
FXI,31.11,2022-08-15,1
