Stock,PredictedPrice,DateTime,Dataset
AMZN,240.8,2020-07-11,4
AMZN,180.5,2021-07-11,4
AMZN,133.69,2022-07-11,4
AMZN,114.08,2023-07-11,1
AMZN,127.75,2024-07-11,1
T,20.45,2023-07-11,4
T,20.95,2024-07-11,4
T,26.5,2020-07-11,4
T,21.23,2021-07-11,4
T,22.67,2022-07-11,1
BABA,175.23,2020-07-11,1
BABA,119.74,2023-07-11,1
BABA,94.31,2024-07-11,1
BABA,290.5,2021-07-11,4
BABA,115.46,2022-07-11,4
GM,32.46,2020-07-11,1
GM,26.85,2021-07-11,1
GM,61.34,2022-07-11,1
GM,34.51,2023-07-11,1
GM,42.92,2024-07-11,1
DTE.DE,16.5,2020-07-11,4
DTE.DE,17.2,2021-07-11,4
DTE.DE,19.56,2022-07-11,4
DTE.DE,19.41,2023-07-11,1
DTE.DE,20.38,2024-07-11,1
MBGYY,25.5,2022-07-11,4
MBGYY,18.68,2023-07-11,4
MBGYY,20.5,2024-07-11,4
MBGYY,13.12,2020-07-11,1
MBGYY,10.18,2021-07-11,1
IFNNY,19.5,2020-07-11,4
IFNNY,24.5,2021-07-11,4
IFNNY,26.45,2023-07-11,4
IFNNY,32.5,2024-07-11,4
IFNNY,23.34,2022-07-11,1
SPX,3300.5,2021-07-11,4
SPX,4227.4,2022-07-11,4
SPX,4110.29,2023-07-11,4
SPX,4500.5,2024-07-11,4
SPX,3122.58,2020-07-11,1
FXI,44.5,2020-07-11,4
FXI,48.5,2021-07-11,4
FXI,33.23,2022-07-11,4
FXI,29.46,2023-07-11,4
FXI,28.5,2024-07-11,4
1211.HK,51.23,2020-07-11,1
1211.HK,81.45,2021-07-11,1
1211.HK,232.47,2022-07-11,1
1211.HK,327.69,2023-07-11,1
1211.HK,267.82,2024-07-11,1
0941.HK,74.54,2020-07-11,1
0941.HK,59.81,2021-07-11,1
0941.HK,49.38,2022-07-11,1
0941.HK,50.76,2023-07-11,1
0941.HK,65.27,2024-07-11,1





