industry,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
auto,Claude,Cohere,0.40961812749453824,0.6491315052824255,-0.6011553485770129,0.9943422867986712
auto,Claude,Deepseek,0.43644916472634726,0.6858254392642429,-0.6045640013018372,0.9954361741467754
auto,Claude,Doubao,0.47075137756407415,0.7059783137384305,-0.6102792376799512,0.9934032585368576
auto,Claude,GPT,0.47718059690484366,0.7855551889733113,-0.8273781111702655,0.997386072082777
auto,Claude,Gemini,0.435729634175072,0.7286597932209169,-0.6061906931844043,0.9966464659759332
auto,Claude,Mistral,0.1470662690904456,0.3604544286515436,-0.9206028784916986,0.8961764912081099
auto,Claude,Qwen,0.4287890810311109,0.650371711084475,-0.576533571715464,0.995895863574808
auto,Cohere,Claude,0.40961812749453824,0.6491315052824255,-0.6011553485770129,0.9943422867986712
auto,Cohere,Deepseek,0.9828314737147855,0.9970294658875786,0.9004336368038705,0.9999811136562096
auto,Cohere,Doubao,0.965453866214175,0.9880844680315004,0.8699658467715319,0.9999119239398884
auto,Cohere,GPT,0.8764679998832087,0.991428715328163,0.2472586214635614,0.9999829782518876
auto,Cohere,Gemini,0.9825167697858787,0.99653441621061,0.896493011882542,0.9999829782518876
auto,Cohere,Mistral,0.553479377469319,0.934748789017287,-0.9592495558495876,0.998189123822076
auto,Cohere,Qwen,0.7398687575360778,0.9795163197807748,-0.4992338695626827,0.9999790091289762
auto,Deepseek,Claude,0.43644916472634726,0.6858254392642429,-0.6045640013018373,0.9954361741467754
auto,Deepseek,Cohere,0.9828314737147855,0.9970294658875786,0.9004336368038703,0.9999811136562096
auto,Deepseek,Doubao,0.9769300701564811,0.9920590205860516,0.8261350905073082,0.999929229975281
auto,Deepseek,GPT,0.8846202891021029,0.9985369463172968,0.1536221804612186,0.9999998267874184
auto,Deepseek,Gemini,0.9989625755113702,0.9999889236894368,0.9890227834909276,0.999999901477204
auto,Deepseek,Mistral,0.552362999691152,0.9752489779389776,-0.9528911921706352,0.9990992564070548
auto,Deepseek,Qwen,0.7553909329940461,0.9978774692792096,-0.4827925583316429,0.9999993688907876
auto,Doubao,Claude,0.47075137756407415,0.7059783137384305,-0.6102792376799514,0.9934032585368576
auto,Doubao,Cohere,0.965453866214175,0.9880844680315004,0.869965846771532,0.9999119239398884
auto,Doubao,Deepseek,0.9769300701564811,0.9920590205860516,0.8261350905073083,0.9999292299752812
auto,Doubao,GPT,0.9191669839688785,0.9892000808030068,0.5636176902803369,0.9999252361570397
auto,Doubao,Gemini,0.9785749680469866,0.9935512665044816,0.8260906878074544,0.9999252361570397
auto,Doubao,Mistral,0.5400864303459413,0.9719902000348228,-0.9168124493631712,0.9999254235230256
auto,Doubao,Qwen,0.773678529337373,0.9879574778790824,-0.3918006082738715,0.999887099022092
auto,GPT,Claude,0.4771805969048437,0.7855551889733113,-0.8273781111702656,0.997386072082777
auto,GPT,Cohere,0.8764679998832087,0.9914287153281628,0.2472586214635613,0.9999829782518878
auto,GPT,Deepseek,0.8846202891021029,0.9985369463172968,0.1536221804612186,0.999999826787418
auto,GPT,Doubao,0.9191669839688786,0.9892000808030068,0.5636176902803369,0.9999252361570397
auto,GPT,Gemini,0.8873931266403841,0.999628484987764,0.1534421742637062,1.0
auto,GPT,Mistral,0.504659340681069,0.9469070461299892,-0.9450318273941786,0.9988952858981172
auto,GPT,Qwen,0.7238077172168864,0.9895950605259196,-0.8348433359683112,0.9999908432004264
auto,Gemini,Claude,0.435729634175072,0.7286597932209169,-0.6061906931844044,0.9966464659759332
auto,Gemini,Cohere,0.9825167697858787,0.9965344162106098,0.8964930118825419,0.9999829782518878
auto,Gemini,Deepseek,0.9989625755113702,0.999988923689437,0.9890227834909276,0.999999901477204
auto,Gemini,Doubao,0.9785749680469866,0.9935512665044816,0.8260906878074543,0.9999252361570397
auto,Gemini,GPT,0.8873931266403841,0.999628484987764,0.1534421742637061,1.0
auto,Gemini,Mistral,0.5545445485887736,0.9688041491147148,-0.950942580646617,0.9988952858981172
auto,Gemini,Qwen,0.7569480762280265,0.99973317788927,-0.4811626444353782,1.0
auto,Mistral,Claude,0.1470662690904456,0.3604544286515435,-0.9206028784916986,0.8961764912081099
auto,Mistral,Cohere,0.553479377469319,0.934748789017287,-0.9592495558495876,0.9981891238220758
auto,Mistral,Deepseek,0.552362999691152,0.9752489779389776,-0.9528911921706352,0.999099256407055
auto,Mistral,Doubao,0.5400864303459413,0.9719902000348228,-0.9168124493631712,0.9999254235230256
auto,Mistral,GPT,0.504659340681069,0.9469070461299892,-0.9450318273941788,0.9988952858981172
auto,Mistral,Gemini,0.5545445485887733,0.9688041491147148,-0.950942580646617,0.9988952858981172
auto,Mistral,Qwen,0.5170792393610106,0.9293050202905988,-0.90707919223945,0.9983517833344332
auto,Qwen,Claude,0.42878908103111096,0.6503717110844751,-0.576533571715464,0.995895863574808
auto,Qwen,Cohere,0.7398687575360778,0.9795163197807748,-0.4992338695626828,0.9999790091289762
auto,Qwen,Deepseek,0.7553909329940461,0.9978774692792096,-0.4827925583316431,0.9999993688907876
auto,Qwen,Doubao,0.773678529337373,0.9879574778790824,-0.3918006082738715,0.999887099022092
auto,Qwen,GPT,0.7238077172168864,0.9895950605259196,-0.8348433359683111,0.9999908432004262
auto,Qwen,Gemini,0.7569480762280265,0.99973317788927,-0.4811626444353782,1.0
auto,Qwen,Mistral,0.5170792393610106,0.9293050202905988,-0.9070791922394498,0.9983517833344332
