model1,model2,symbol,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
Claude,Cohere,0941.HK,0.4292277290356469,0.595931098366351,-0.1579520863923717,0.7926876392282689
Claude,Cohere,1211.HK,0.5234294083879487,0.6491315052824255,-0.2992111983359685,0.8463871141881844
Claude,Cohere,AMZN,0.550492198102843,0.6238914025393769,0.012879829263187,0.9407481147200402
Claude,Cohere,BABA,0.5222077680883401,0.8380432076905762,-0.6637349119540725,0.934221956871931
Claude,Cohere,DTE.DE,0.211983782156531,-0.000812761421989,-0.659441863610158,0.957235028841568
Claude,Cohere,FXI,0.5152392969526178,0.7721151806085831,-0.7128187300296526,0.966688599264808
Claude,Cohere,GM,0.32761026914592,0.3952491211849085,-0.6011553485770129,0.9943422867986712
Claude,Cohere,IFNNY,0.502206033544187,0.7143637266691104,-0.0701182775940671,0.9642661342160208
Claude,Cohere,MBGYY,0.377814704949746,0.7780374503614422,-0.5958481659592092,0.9373666605858486
Claude,Cohere,SPX,0.5623626834356302,0.6527691277013591,-0.2267936570738292,0.9245037316405208
Claude,Cohere,T,0.47655437819455565,0.5899187315149967,-0.0192939545869117,0.8055456281297219
Claude,Deepseek,0941.HK,0.449280102833053,0.5696329149723754,0.0046978300676669,0.8026721596949706
Claude,Deepseek,1211.HK,0.5293906022464565,0.6466516189615968,-0.3889392138150694,0.8950322771534369
Claude,Deepseek,AMZN,0.5731364721997313,0.6320950709047859,0.025510299573418,0.9467524995330024
Claude,Deepseek,BABA,0.5266470870863491,0.8241233365488226,-0.6592355906304515,0.9678107610230378
Claude,Deepseek,DTE.DE,0.2204773067990843,0.025043200886739,-0.6104842590042705,0.8903371154762484
Claude,Deepseek,FXI,0.5176200459582603,0.7885944280827576,-0.7024144784261815,0.9644116453556336
Claude,Deepseek,GM,0.388972626620543,0.6858254392642429,-0.588526298852212,0.9954361741467754
Claude,Deepseek,IFNNY,0.5178340148775987,0.7874488022287178,-0.0814984600807717,0.9791760013057274
Claude,Deepseek,MBGYY,0.39098426531204244,0.7762570220241903,-0.6045640013018372,0.9581890568529235
Claude,Deepseek,SPX,0.5646537021929383,0.6663663658654162,-0.2255077936013288,0.9245939460041768
Claude,Deepseek,T,0.5247953161265466,0.5899187315149967,0.0518600931729603,0.8279278274351068
Claude,Doubao,0941.HK,0.4757975948113213,0.5426718793260323,0.0517145726353462,0.8642043530358112
Claude,Doubao,1211.HK,0.6625683599896212,0.7059783137384305,0.1892250653482821,0.9042746531373084
Claude,Doubao,AMZN,0.6506587110004484,0.6954775730549094,0.0913626022893249,0.9605396396684998
Claude,Doubao,BABA,0.5584438898390676,0.8349767948457809,-0.561537809656763,0.9694589468504016
Claude,Doubao,DTE.DE,0.24866815064354908,0.2394303067124749,-0.784429001960037,0.9311097717293776
Claude,Doubao,FXI,0.5600881156227531,0.8052715426105994,-0.5483608065328134,0.9594295306381156
Claude,Doubao,GM,0.39038997875245063,0.7770575100813775,-0.5615638529406729,0.9934032585368576
Claude,Doubao,IFNNY,0.5196012084459303,0.863745315680579,-0.0660485587432158,0.9775149443206492
Claude,Doubao,MBGYY,0.3592957939501506,0.700161899451126,-0.6102792376799512,0.9761727611404802
Claude,Doubao,SPX,0.579382114633781,0.6268858539134412,-0.1619081161489938,0.9434227745073668
Claude,Doubao,T,0.48669539729710787,0.626680139284961,-0.0710590893673813,0.8279278274351067
Claude,GPT,0941.HK,0.5701602493952767,0.6142356286921214,0.2432634674301205,0.8134103888760151
Claude,GPT,1211.HK,0.7727008012369998,0.822914840109187,0.6210717277347519,0.8973755160587747
Claude,GPT,AMZN,0.6580512083753762,0.7663815519227277,0.0252219758873027,0.9480886968793872
Claude,GPT,BABA,0.809812136611121,0.8169396308878402,0.6463685254506764,0.974277795803189
Claude,GPT,DTE.DE,0.2308365389594642,0.0165813236007001,-0.4705741368489179,0.9060533951598536
Claude,GPT,FXI,0.5180434209971472,0.7885292989787953,-0.765063939487285,0.9554179200428036
Claude,GPT,GM,0.4174106523452295,0.7855551889733113,-0.5898306569867751,0.997386072082777
Claude,GPT,IFNNY,0.34984562077993003,0.814338488069503,-0.8785412201634487,0.9785628970874976
Claude,GPT,MBGYY,0.2414303371323018,0.7724486997605675,-0.8273781111702655,0.939390054579599
Claude,GPT,SPX,0.5745549714792658,0.6450230911400213,-0.1549281252800881,0.9245754317787472
Claude,GPT,T,0.6131342275243069,0.6226729912531431,0.2758118714539411,0.7912670323761641
Claude,Gemini,0941.HK,0.4575375329507919,0.5686752846430463,0.0039006041600989,0.8415912887723324
Claude,Gemini,1211.HK,0.5290464267317434,0.6467944796805027,-0.3890658319173654,0.8943772444081137
Claude,Gemini,AMZN,0.5809856649995564,0.6249255342767733,0.0252219758873027,0.947043028149564
Claude,Gemini,BABA,0.5262830416621933,0.8232742584117434,-0.6596506938803708,0.9681236501219048
Claude,Gemini,DTE.DE,0.23142067907211544,0.0450065265551524,-0.6131935897440766,0.9183301956886348
Claude,Gemini,FXI,0.5167705813597928,0.7885292989787953,-0.7060499083946891,0.9645066607874162
Claude,Gemini,GM,0.39681506039243286,0.7286597932209169,-0.5898306569867751,0.9966464659759332
Claude,Gemini,IFNNY,0.5234391479753712,0.8068502275403695,-0.0779666294999053,0.9785628970874976
Claude,Gemini,MBGYY,0.3813274154010398,0.773271684771547,-0.6061906931844043,0.9381408182159868
Claude,Gemini,SPX,0.5644703465631661,0.6665421429442026,-0.2294942303989832,0.9245754317787472
Claude,Gemini,T,0.5172609380043351,0.5876328906815212,0.0516236699792641,0.801688050478018
Claude,Mistral,0941.HK,0.21245353577041462,0.1928413729146077,-0.8167641174942234,0.9053406253975116
Claude,Mistral,1211.HK,0.44726587200163637,0.6344589403433605,-0.5159447166126984,0.8961764912081099
Claude,Mistral,AMZN,0.3723209515642455,0.6703901892911928,-0.6088604865671238,0.9536380316885028
Claude,Mistral,BABA,0.42170529062591644,0.5804546226695243,-0.4627652610641251,0.9675774923121496
Claude,Mistral,DTE.DE,0.26091906092671413,0.5957638265632353,-0.5882211550621718,0.8620173321178429
Claude,Mistral,FXI,0.42120010322091694,0.7822093551042111,-0.5241942846968747,0.8988517437028246
Claude,Mistral,GM,-0.03391606845511232,0.0532833767806101,-0.8711843970272675,0.7885963817403894
Claude,Mistral,IFNNY,0.09572374163067314,-0.0644472829845302,-0.9685927069596616,0.8490031495627899
Claude,Mistral,MBGYY,0.027849003724812672,-0.0939996239962791,-0.9206028784916986,0.8902461147402864
