country,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
China,Claude,Cohere,0.49752605061613836,0.755327692872141,-0.7128187300296526,0.966688599264808
China,Claude,Deepseek,0.5057344595310297,0.7211125935203075,-0.7024144784261815,0.9678107610230378
China,Claude,Doubao,0.5642244900656908,0.7738872941658608,-0.561537809656763,0.9694589468504016
China,Claude,GPT,0.6676791520601362,0.77388928621818,-0.765063939487285,0.974277795803189
China,Claude,Gemini,0.5074093956761303,0.7225644703536078,-0.7060499083946891,0.9681236501219048
China,Claude,Mistral,0.37565620040472114,0.6074567815064424,-0.8167641174942234,0.9675774923121496
China,Claude,Qwen,0.49558968131994796,0.8039842354139175,-0.9474105010296898,0.9688201193787342
China,Cohere,Claude,0.49752605061613836,0.7553276928721411,-0.7128187300296525,0.966688599264808
China,Cohere,Deepseek,0.9879364515413476,0.9952567146046972,0.9004336368038705,0.9999897843412352
China,Cohere,Doubao,0.9634521759391264,0.988101259147194,0.8503802233191791,0.9999119239398884
China,Cohere,GPT,0.8764531659361131,0.9939479614023242,-0.0803743594159136,0.9999914244449848
China,Cohere,Gemini,0.9879715403599892,0.9952509019502944,0.9019233608943552,0.9999914244449848
China,Cohere,Mistral,0.38205703537067404,0.9096680947459773,-0.9504944797445856,0.998189123822076
China,Cohere,Qwen,0.7980174194837114,0.970544710996726,-0.4460977230018717,0.9999790091289762
China,Deepseek,Claude,0.5057344595310298,0.7211125935203077,-0.7024144784261815,0.9678107610230378
China,Deepseek,Cohere,0.9879364515413475,0.9952567146046971,0.9004336368038703,0.9999897843412348
China,Deepseek,Doubao,0.960215818326672,0.9956035721653445,0.7507344872348023,0.999929229975281
China,Deepseek,GPT,0.8848279890920703,0.9994516901163172,-0.1292623255714813,0.999999865551532
China,Deepseek,Gemini,0.9998196978730831,0.9999975877088885,0.99765180721335,0.999999901477204
China,Deepseek,Mistral,0.38343572476776155,0.9375687961019975,-0.9483117686448956,0.9992820916255608
China,Deepseek,Qwen,0.7930055283366334,0.9983619344990309,-0.4470578513435602,0.9999993688907876
China,Doubao,Claude,0.5642244900656908,0.7738872941658608,-0.561537809656763,0.9694589468504016
China,Doubao,Cohere,0.9634521759391264,0.988101259147194,0.8503802233191791,0.9999119239398884
China,Doubao,Deepseek,0.960215818326672,0.9956035721653445,0.7507344872348022,0.9999292299752812
China,Doubao,GPT,0.9035361247607234,0.9932789626438382,0.0691914054717037,0.9999252361570397
China,Doubao,Gemini,0.9613422138563668,0.9956295434101864,0.7533280228227108,0.9999252361570397
China,Doubao,Mistral,0.3235034341333659,0.8518572253187162,-0.9383386548066928,0.9989009772965765
China,Doubao,Qwen,0.7983914179396565,0.9921615292135642,-0.42701535619201,0.999887099022092
China,GPT,Claude,0.6676791520601362,0.77388928621818,-0.765063939487285,0.974277795803189
China,GPT,Cohere,0.8764531659361131,0.9939479614023242,-0.0803743594159136,0.9999914244449848
China,GPT,Deepseek,0.8848279890920703,0.9994516901163172,-0.1292623255714812,0.999999865551532
China,GPT,Doubao,0.9035361247607234,0.9932789626438382,0.0691914054717037,0.9999252361570397
China,GPT,Gemini,0.8845147741420083,0.9995022130376359,-0.1306824744561964,1.0
China,GPT,Mistral,0.38965383942424725,0.9315124102282484,-0.9472781588424788,0.9983051757143728
China,GPT,Qwen,0.7412273347689049,0.9821082376363122,-0.4796261158519048,0.9999918353172416
China,Gemini,Claude,0.5074093956761303,0.7225644703536078,-0.706049908394689,0.9681236501219048
China,Gemini,Cohere,0.9879715403599892,0.9952509019502944,0.9019233608943552,0.9999914244449848
China,Gemini,Deepseek,0.9998196978730831,0.9999975877088885,0.99765180721335,0.999999901477204
China,Gemini,Doubao,0.9613422138563668,0.9956295434101864,0.7533280228227108,0.9999252361570397
China,Gemini,GPT,0.8845147741420083,0.9995022130376361,-0.1306824744561963,1.0
China,Gemini,Mistral,0.3830269101187609,0.9372525828043962,-0.9472781588424788,0.9993359516974198
China,Gemini,Qwen,0.7939812321876893,0.9994506702257007,-0.447161847826851,1.0
China,Mistral,Claude,0.37565620040472114,0.6074567815064424,-0.8167641174942234,0.9675774923121496
China,Mistral,Cohere,0.38205703537067404,0.9096680947459773,-0.9504944797445852,0.9981891238220758
China,Mistral,Deepseek,0.38343572476776155,0.9375687961019975,-0.9483117686448956,0.9992820916255608
China,Mistral,Doubao,0.3235034341333659,0.8518572253187162,-0.938338654806693,0.9989009772965765
China,Mistral,GPT,0.38965383942424725,0.9315124102282484,-0.9472781588424788,0.9983051757143728
China,Mistral,Gemini,0.3830269101187609,0.9372525828043963,-0.9472781588424788,0.9993359516974198
China,Mistral,Qwen,0.25505669929760355,0.5603824829723074,-0.8293931408130153,0.9992059566250102
China,Qwen,Claude,0.49558968131994796,0.8039842354139175,-0.94741050102969,0.968820119378734
China,Qwen,Cohere,0.7980174194837114,0.970544710996726,-0.4460977230018717,0.9999790091289762
China,Qwen,Deepseek,0.7930055283366334,0.9983619344990309,-0.4470578513435603,0.9999993688907876
China,Qwen,Doubao,0.7983914179396565,0.9921615292135642,-0.42701535619201,0.999887099022092
China,Qwen,GPT,0.7412273347689049,0.9821082376363122,-0.4796261158519048,0.9999918353172418
China,Qwen,Gemini,0.7939812321876893,0.9994506702257007,-0.4471618478268508,1.0
China,Qwen,Mistral,0.2550566992976035,0.5603824829723074,-0.8293931408130153,0.9992059566250102
