time,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
daily,Claude,Cohere,0.8014889579900824,0.81571621793495,0.3952491211849085,0.966688599264808
daily,Claude,Deepseek,0.8608904283323381,0.8739380575789741,0.6858254392642429,0.9678107610230378
daily,Claude,Doubao,0.8876106165768115,0.884716168386182,0.7859909964323657,0.9694589468504016
daily,Claude,GPT,0.8710919319739575,0.8753474426017827,0.7777598495981054,0.974277795803189
daily,Claude,Gemini,0.8729305812974943,0.873951914944456,0.7286597932209169,0.9681236501219048
daily,Claude,Mistral,0.8173127313958649,0.8199882811121968,0.6787025167933741,0.9675774923121496
daily,Claude,Qwen,0.8729364770437769,0.873951914944456,0.7290206338946941,0.9686094355639222
daily,Cohere,Claude,0.8014889579900824,0.8157162179349499,0.3952491211849084,0.966688599264808
daily,Cohere,Deepseek,0.9594329468626657,0.9805806756909198,0.8350681592449207,0.9992198488156314
daily,Cohere,Doubao,0.9443268699942976,0.9552008998760864,0.8631070856732629,0.9958800618312892
daily,Cohere,GPT,0.9432141516134198,0.9805473104547876,0.7372609114626819,0.9986232247482908
daily,Cohere,Gemini,0.9594803824391445,0.9797450277965256,0.8663403022597685,0.9996848465655976
daily,Cohere,Mistral,0.9169970731844593,0.9609908624637052,0.7745774225123525,0.9846343920313356
daily,Cohere,Qwen,0.9593039223687758,0.9797450277965256,0.8663403022597664,0.9996848465655976
daily,Deepseek,Claude,0.8608904283323381,0.873938057578974,0.6858254392642429,0.9678107610230378
daily,Deepseek,Cohere,0.9594329468626654,0.9805806756909196,0.8350681592449207,0.9992198488156312
daily,Deepseek,Doubao,0.9805690975310033,0.9942627179989932,0.8844639885164529,1.0
daily,Deepseek,GPT,0.9863956416728862,0.9978685201420968,0.9321543881903658,0.9998713057348644
daily,Deepseek,Gemini,0.9962385062568822,0.9981834068379132,0.9804055496716796,0.9999993688907876
daily,Deepseek,Mistral,0.9501378894843717,0.9773871604762228,0.8406114013808852,0.9957396944372752
daily,Deepseek,Qwen,0.9962276069678455,0.9981834068379132,0.9806660241607936,0.9999993688907876
daily,Doubao,Claude,0.8876106165768117,0.884716168386182,0.7859909964323656,0.9694589468504016
daily,Doubao,Cohere,0.9443268699942977,0.9552008998760864,0.8631070856732629,0.9958800618312892
daily,Doubao,Deepseek,0.9805690975310035,0.994262717998993,0.8844639885164529,1.0
daily,Doubao,GPT,0.9783947518669904,0.996383702572833,0.8840865164332428,0.9992373706069309
daily,Doubao,Gemini,0.9864987221078851,0.9973903871162568,0.9011271137791652,0.998946851621512
daily,Doubao,Mistral,0.9310596437413404,0.96609893339971,0.7342352344450199,0.9969513818481106
daily,Doubao,Qwen,0.9865006542330874,0.997499062680384,0.9011271137791662,0.9989647555639508
daily,GPT,Claude,0.8710919319739575,0.8753474426017827,0.7777598495981054,0.974277795803189
daily,GPT,Cohere,0.9432141516134199,0.9805473104547878,0.7372609114626818,0.9986232247482908
daily,GPT,Deepseek,0.9863956416728862,0.9978685201420968,0.9321543881903658,0.9998713057348644
daily,GPT,Doubao,0.9783947518669904,0.996383702572833,0.884086516433243,0.9992373706069309
daily,GPT,Gemini,0.9920312291549883,0.9984422503851224,0.9428201848801804,0.9998809711246855
daily,GPT,Mistral,0.9229120205839908,0.9803104082816988,0.6052143316495642,0.9979119798297658
daily,GPT,Qwen,0.9920282781279822,0.9984422503851222,0.9428201848801814,0.9998809711246855
daily,Gemini,Claude,0.8729305812974943,0.873951914944456,0.7286597932209169,0.9681236501219048
daily,Gemini,Cohere,0.9594803824391446,0.9797450277965256,0.8663403022597685,0.999684846565598
daily,Gemini,Deepseek,0.9962385062568822,0.9981834068379132,0.9804055496716796,0.9999993688907876
daily,Gemini,Doubao,0.9864987221078851,0.9973903871162568,0.9011271137791655,0.9989468516215124
daily,Gemini,GPT,0.9920312291549884,0.9984422503851224,0.9428201848801804,0.9998809711246855
daily,Gemini,Mistral,0.9498587939025053,0.9787145033323804,0.8171011309040979,0.9962044005588632
daily,Gemini,Qwen,0.9999968757091764,1.0,0.999980937893248,1.0
daily,Mistral,Claude,0.8173127313958651,0.8199882811121968,0.6787025167933742,0.9675774923121496
daily,Mistral,Cohere,0.9169970731844596,0.9609908624637052,0.7745774225123527,0.9846343920313356
daily,Mistral,Deepseek,0.9501378894843717,0.9773871604762226,0.8406114013808852,0.9957396944372752
daily,Mistral,Doubao,0.9310596437413404,0.96609893339971,0.7342352344450199,0.9969513818481104
daily,Mistral,GPT,0.9229120205839908,0.9803104082816988,0.6052143316495642,0.9979119798297658
daily,Mistral,Gemini,0.9498587939025053,0.9787145033323806,0.8171011309040979,0.9962044005588632
daily,Mistral,Qwen,0.9499339340843753,0.9787145033323814,0.8171011309040954,0.9963284806919472
daily,Qwen,Claude,0.8729364770437769,0.873951914944456,0.729020633894694,0.9686094355639224
daily,Qwen,Cohere,0.9593039223687758,0.9797450277965256,0.8663403022597664,0.999684846565598
daily,Qwen,Deepseek,0.9962276069678455,0.9981834068379132,0.9806660241607936,0.9999993688907876
daily,Qwen,Doubao,0.9865006542330874,0.997499062680384,0.9011271137791662,0.9989647555639508
daily,Qwen,GPT,0.9920282781279822,0.9984422503851222,0.9428201848801812,0.9998809711246855
daily,Qwen,Gemini,0.9999968757091764,1.0,0.999980937893248,1.0
daily,Qwen,Mistral,0.9499339340843753,0.9787145033323814,0.8171011309040954,0.9963284806919468
